M1,M2,mM1,mM2,F,R,SCI,H,GA,AG,ABC,ABS,AZI,SO,SO_red,Alb,Sigma,redM1,W,WW,HR,Schultz,Gutman,Mostar,Sz,PI,EE,Energy,SpecRad,Balaban_J,target
92.0,103.0,6.3055555555555545,4.305555555555555,226.0,9.164703797946448,9.394205344927391,8.866666666666667,19.436443388259484,20.629067424415016,14.389424793914728,14.900834327652795,152.90625,66.61551443167896,39.44489300610236,14.0,20.0,31.0,792.0,2849.0,58.37626262626263,3214.0,3234.0,208.0,1160.0,366.0,45.94135606070074,24.31653531211759,2.3730877821242005,1.7146377295273996,1.0
106.0,114.0,9.506944444444443,5.319444444444443,274.0,10.852685169664095,10.837760265306477,10.3,21.91261560255007,24.272267589155632,16.809161520305565,17.03260119943834,165.87673611111111,78.13903136179283,47.60059795665124,24.0,46.0,37.0,1492.0,6815.0,73.34752747252747,5709.0,5433.0,277.0,1882.0,500.0,53.97211617414321,27.070797909768924,2.2954078760731975,2.20558347704936,1.0
146.0,180.0,9.333333333333332,5.527777777777777,394.0,12.379917853109722,13.054618859638213,11.833333333333336,27.99411139383934,30.134410491872085,20.75803430765814,22.274893532371014,238.15625,105.94086696108164,66.88759170957908,22.0,34.0,56.0,1484.0,5100.0,104.2965367965368,6298.0,6643.0,394.0,3098.0,782.0,66.52317382773461,33.46582201659463,2.5785233443199873,1.605186418645728,1.0
98.0,106.0,6.194444444444445,4.833333333333332,230.0,10.237183443017884,10.472135954999581,10.000000000000002,21.53000977870159,22.51560833835508,15.775128785586409,16.231248066653404,166.75,70.66433932243856,40.50281539872884,14.0,18.0,31.0,1158.0,4971.0,64.6674075924076,4714.0,4774.0,238.0,1594.0,450.0,50.265902859978084,26.569834753519054,2.281041859215058,1.5669043789688937,1.0
164.0,203.0,11.39583333333333,6.09722222222222,460.0,13.630734840239555,14.301866318075207,12.885714285714291,30.58727606269238,33.643571456254776,23.095142225075044,24.68555106090005,260.1116157407408,119.91362815279003,77.18985739983135,28.0,54.0,65.0,2212.0,9005.0,116.97740315240316,9355.0,9852.0,561.0,2993.0,903.0,74.69614494024458,36.206474509416644,2.632949848622904,1.4418439979162059,1.0
236.0,285.0,15.999999999999995,9.638888888888888,624.0,21.010146808445523,21.895457459182992,20.133333333333333,46.39356792656762,49.80351736190726,34.35947209134655,36.490154278267745,389.84375,171.1868980947964,106.51063030055471,36.0,54.0,88.0,7383.0,41921.0,204.8187749084421,31284.0,33077.0,1382.0,10766.0,2179.0,110.95940227740077,56.28033167983878,2.575261945038278,1.2272560743372298,1.0
218.0,276.0,15.291666666666664,7.999999999999998,624.0,17.82816415020198,18.70815140111203,16.828571428571436,40.11528700023561,44.2043849717205,30.257029917226298,32.44378854304326,351.91861111111115,159.3941993558205,103.34270706851109,38.0,72.0,88.0,4072.0,17358.0,184.54222999222998,17338.0,18403.0,958.0,7690.0,1639.0,97.56195089385325,47.65006372798446,2.6770427317651877,1.4915818872404791,1.0
124.0,153.0,6.499999999999998,4.722222222222222,326.0,10.66470379794645,11.34369508771057,10.366666666666667,24.436443388259484,25.629067424415013,17.682318012728174,19.0927070320326,213.25,89.24293142964848,55.00124219220642,14.0,20.0,46.0,997.0,3296.0,79.8579365079365,4380.0,4794.0,266.0,1610.0,516.0,56.92116342543438,29.30262588942524,2.555708698608403,1.4756931910005977,1.0
148.0,173.0,10.361111111111109,6.499999999999998,380.0,13.9010859031649,14.34061675347226,13.36666666666667,30.010282722976772,32.10223230375163,22.224618528369582,23.324261047947278,245.21875,107.34602973056646,65.524727830213,24.0,34.0,53.0,2077.0,7726.0,117.17307414807415,8449.0,8544.0,543.0,3093.0,873.0,71.3603602463714,36.71440796032012,2.483343068540763,1.839300315632005,1.0
72.0,81.0,7.416666666666666,3.3333333333333335,192.0,6.913591357920935,6.9080264443913375,6.4,14.074927805386261,16.051927587233457,11.141620172685643,11.339710445351363,102.421875,53.334895675152055,33.901689239237314,18.0,30.0,27.0,368.0,1001.0,42.23095238095238,1375.0,1269.0,127.0,518.0,204.0,35.52375646398477,17.34427002431165,2.3626524955828057,2.53008943510171,1.0
152.0,187.0,9.673611111111107,5.7638888888888875,420.0,12.830535685248812,13.49611250237312,12.252380952380957,28.871396584260935,31.301992191375817,21.47407960703805,23.015881251471303,247.81474074074075,110.75159491481881,70.41277995809216,26.0,46.0,59.0,1727.0,6431.0,108.48603896103897,7317.0,7705.0,431.0,2606.0,755.0,69.18834808994575,34.55343539988222,2.5419793952272145,1.521073960473255,0.0
