M1,M2,mM1,mM2,F,R,SCI,H,GA,AG,ABC,ABS,AZI,SO,SO_red,Alb,Sigma,redM1,W,WW,HR,Schultz,Gutman,Mostar,Sz,PI,EE,Energy,SpecRad,Balaban_J,logS
164.0,195.0,12.33333333333333,7.2499999999999964,428.0,15.27729466307721,15.695498298553519,14.633333333333336,32.839321271230006,35.296972287751046,24.334008328110766,25.576504390678597,274.765625,119.03831902938228,73.35972766457864,26.0,38.0,60.0,3080.0,14112.0,129.3209817959818,12650.0,12956.0,690.0,4491.0,1104.0,78.68286364532624,41.09600051919824,2.432237186274369,1.6055245566611753,-0.77
74.0,84.0,4.694444444444445,3.388888888888889,182.0,7.270856947829097,7.499778153927475,7.066666666666667,15.610826190248506,16.433125433716448,11.45160786942736,11.937427426796734,125.53125,53.4137070958364,31.558543488729693,10.0,14.0,25.0,384.0,1101.0,42.167857142857144,1591.0,1643.0,125.0,517.0,213.0,36.69345736795601,19.259415731155993,2.328911591941714,1.7703449104649502,-3.3
42.0,41.0,5.472222222222222,2.75,98.0,5.163902460147014,4.918991055689499,4.866666666666666,9.480272944275193,10.586623965396548,7.399237211089012,7.143780964033362,66.125,31.024836158635463,17.950844619618653,10.0,16.0,13.0,194.0,549.0,23.378571428571426,666.0,566.0,58.0,194.0,90.0,24.008703830015794,12.133645288114916,2.0478103147828555,3.099620830487698,-2.06
128.0,159.0,4.388888888888889,4.694444444444445,328.0,10.915816237971963,11.829873988246623,10.833333333333334,25.797958971132708,26.20620726159657,18.10169550921107,19.825403789587842,231.734375,91.20984168719059,54.88759170957907,10.0,10.0,46.0,963.0,3118.0,82.0988455988456,4452.0,5136.0,256.0,2330.0,612.0,58.0432294759259,30.943224904938074,2.53480027620185,1.3609190013877803,-7.87
20.0,20.0,1.25,1.25,40.0,2.5,2.5,2.5,5.0,5.0,3.5355339059327378,3.5355339059327378,40.0,14.142135623730951,7.0710678118654755,0.0,0.0,5.0,15.0,20.0,7.5,60.0,60.0,0.0,20.0,10.0,11.496186321883666,6.47213595499958,1.9999999999999987,2.083333333333333,-1.33
46.0,53.0,1.9722222222222223,2.0277777777777777,110.0,4.4663264951887856,4.6971026724636955,4.433333333333334,9.919183588453086,10.082482904638631,7.030627697345596,7.4504171638263985,83.390625,32.80698141270619,18.843766846610826,4.0,4.0,15.0,79.0,143.0,20.499999999999996,344.0,373.0,24.0,144.0,66.0,22.580231058358727,12.170708811226712,2.32259590547608,1.9697731935234024,-1.5
88.0,104.0,7.027777777777777,3.7222222222222223,234.0,8.002907755397974,8.224523025319064,7.566666666666667,17.208902401601822,18.897227048854205,13.072670487464347,13.679810388393365,137.828125,64.31475363871463,40.38697061347588,16.0,26.0,33.0,470.0,1235.0,53.78928571428571,1882.0,1870.0,180.0,788.0,294.0,41.84085951412537,20.633628481939102,2.444532092182994,2.128139019387059,-7.32
118.0,148.0,6.090277777777777,4.152777777777778,328.0,9.593172145670252,10.26930635333735,9.238095238095239,22.272509560391953,23.82637372613893,16.35617461765403,17.76139879362978,194.33087037037035,85.65402962759181,54.4685547570716,20.0,32.0,46.0,724.0,2154.0,71.70039682539682,3197.0,3512.0,197.0,1536.0,453.0,52.510087141661465,26.500693861621603,2.5767042469412296,1.5650034351283706,-5.03
134.0,189.0,7.576388888888888,3.5694444444444446,430.0,8.77572757194729,9.654411470470164,8.176190476190477,21.810207670465115,24.433335865724512,16.398922337269266,18.43913080928198,221.1877824074074,98.2513762334831,67.65074825931703,24.0,52.0,61.0,520.0,1203.0,72.53333333333333,2368.0,2660.0,208.0,879.0,382.0,55.29855557851337,25.20210964239418,2.858671841950764,1.7580563441488266,-6.29
166.0,207.0,9.194444444444443,6.277777777777776,444.0,14.011570350697117,14.892600971017215,13.56666666666667,32.16042864832977,33.91535357725191,23.258292033180794,25.248746961452973,284.03125,119.73105046361383,74.88978601220472,24.0,30.0,63.0,2115.0,8409.0,121.09655622155623,9204.0,9962.0,456.0,4351.0,980.0,75.20646285526377,38.39010287340207,2.5745258245724836,1.3468483189779863,-4.42
26.0,27.0,2.111111111111111,1.4166666666666665,60.0,2.893846850117352,2.8944271909999157,2.8,5.825617198010981,6.195941990698567,4.352030486860464,4.377620463229157,43.375,18.85866158533493,10.714776642118865,4.0,6.0,8.0,26.0,39.0,10.166666666666666,100.0,95.0,8.0,33.0,19.0,13.991826457480949,7.465883060453303,2.114907541476756,2.184105569636068,1.07
56.0,64.0,3.0833333333333335,2.444444444444444,138.0,5.360173345306138,5.591529863463611,5.233333333333334,11.744800786464067,12.2784248953372,8.55423105945987,8.999610502309366,94.765625,40.351934499056355,23.90168923923731,8.0,10.0,19.0,144.0,305.0,27.633333333333333,608.0,638.0,44.0,308.0,118.0,27.26819170318507,14.426920504436183,2.333243827884395,1.9323192636083937,-4.14
14.0,12.0,2.75,1.5,26.0,2.414213562373095,2.1547005383792515,2.333333333333333,3.885618083164127,4.121320343559642,2.8284271247461903,2.568914100752347,32.0,10.12899020449196,4.82842712474619,2.0,2.0,3.0,20.0,35.0,6.416666666666666,60.0,44.0,8.0,20.0,12.0,9.915316149982342,5.464101615137754,1.7320508075688772,2.19060968716425,-2.68
