,M1,M2,mM1,mM2,F,R,SCI,H,GA,AG,ABC,ABS,AZI,SO,SO_red,Alb,Sigma,redM1,W,WW,HR,Schultz,Gutman,Mostar,Sz,PI,EE,Energy,SpecRad,Balaban_J
M1,1.0,0.9956423567412089,0.8400398981722837,0.9506240999924311,0.9908700051863147,0.9801599706672379,0.9867129341914688,0.9752323718056679,0.9912379700474897,0.9960113834411881,0.9947246708673417,0.9975173755769562,0.9881273847028617,0.9996590356775682,0.9943691539294037,0.8472736042700438,0.7368587598696553,0.9900036256612297,0.7600848223392177,0.5704819296691304,0.9864295505371083,0.7500381484669156,0.7369853738616138,0.9054868868574402,0.760127401485127,0.9205213715336262,0.994839842801288,0.9859861851623053,0.8166652949046764,-0.4163856693091039
M2,0.9956423567412089,1.0,0.8213134172740881,0.9241290403432216,0.9952449038263401,0.960179235356274,0.9700155019992595,0.9546233649135968,0.978172883212503,0.9838371724935534,0.9812867926363226,0.9875013408453054,0.9847622284267021,0.9954500027128242,0.9948789496976936,0.8430948401309034,0.7403470181227721,0.9952759618000325,0.7411022198337607,0.553451173851535,0.9773764720749244,0.7336282434398541,0.7228956247758251,0.8892349684706207,0.7512510388713635,0.9102612093692053,0.9822879768724819,0.9703780362306728,0.8226378879574998,-0.43739885205091456
mM1,0.8400398981722837,0.8213134172740881,1.0,0.8704752879349601,0.8556164405318862,0.8505350890972175,0.8308321374768445,0.8256690434388702,0.8161341078704607,0.8540120079068434,0.850783442712923,0.8345567892970813,0.7817495347946737,0.8505736604551195,0.8635121563549375,0.921418002639897,0.8717484926894443,0.8524340381217284,0.6964452928003204,0.5252804313024764,0.8591903756533769,0.6702548847647664,0.6427751584261567,0.8393311586493604,0.648980286438526,0.7936968283888055,0.8537542743059826,0.8224772866346091,0.6416184293274715,0.0026289981432305745
mM2,0.9506240999924311,0.9241290403432216,0.8704752879349601,1.0,0.9150838205602642,0.9914310816796567,0.9830971323306211,0.9900905931631564,0.9734538154881036,0.9726159109763214,0.9736313210732018,0.9648776101578458,0.953622248812863,0.948872419160932,0.9269191093329308,0.7842683443975254,0.6520785042054671,0.9098073543060213,0.7823729509213573,0.5927991029021348,0.964245852252661,0.7622763154661305,0.7403500453821367,0.9185374318370545,0.7443199264682231,0.905281127063071,0.9761783557600956,0.9814613183253225,0.7092134221422706,-0.2958424982356743
F,0.9908700051863147,0.9952449038263401,0.8556164405318862,0.9150838205602642,1.0,0.9500619481419456,0.9578597229158408,0.9401129771511156,0.9648792103941979,0.9781162123599766,0.9748621735255955,0.9793916108223059,0.9670591049780153,0.9931911661336681,0.9988914552974678,0.8881045474451297,0.8023041349032568,0.9996764661237618,0.7390566046064969,0.5521670427038387,0.9729222123485689,0.7301957140164165,0.7181467260576975,0.8885779433142499,0.746642411133517,0.9044086031294447,0.9755947105851697,0.9564731009801478,0.8228807479135466,-0.3879453097568162
R,0.9801599706672379,0.960179235356274,0.8505350890972175,0.9914310816796567,0.9500619481419456,1.0,0.9984359348259507,0.9987903447162875,0.9945738282231954,0.9933997578445772,0.9942993950987715,0.9901994460907831,0.9794820523773428,0.9781614318553103,0.9598938211653536,0.8025391728372829,0.6725524505443953,0.9465335542174536,0.781582771680308,0.5909398300733035,0.9815538767681473,0.7657832712467751,0.7476574418019991,0.9199444222898417,0.7583328363940083,0.9201483919562919,0.9950056450114261,0.997217648031017,0.7636406589699746,-0.3652306396318298
SCI,0.9867129341914688,0.9700155019992595,0.8308321374768445,0.9830971323306211,0.9578597229158408,0.9984359348259507,1.0,0.9980935456291082,0.9987936748948663,0.9961270636087305,0.9969112283986482,0.9951951548966841,0.9873802994766685,0.9841810250752135,0.9666031655525383,0.7970627650740374,0.6660890602501938,0.9550571198550641,0.7765596114222814,0.5863551172633271,0.9834083392671772,0.7629122676289881,0.7467334606533277,0.9150102867042837,0.760354147924901,0.9217456147997497,0.9971871199991243,0.9993806377882608,0.7787081785280955,-0.40023957412526845
H,0.9752323718056679,0.9546233649135968,0.8256690434388702,0.9900905931631564,0.9401129771511156,0.9987903447162875,0.9980935456291082,1.0,0.9945649152815068,0.9894259601718411,0.9907268870969123,0.9872777294586895,0.981226237770226,0.9719917772573561,0.9502718309044959,0.7746264291986269,0.6379383345151347,0.9364111456950223,0.7783006755869029,0.5886152926542149,0.9766969718987246,0.7631654254724444,0.7457067041665926,0.9140853414858096,0.7557458545443592,0.9168899491484662,0.9915249491277801,0.9976281904110509,0.7562217087993218,-0.3869189046015753
GA,0.9912379700474897,0.978172883212503,0.8161341078704607,0.9734538154881036,0.9648792103941979,0.9945738282231954,0.9987936748948663,0.9945649152815068,1.0,0.9967029628185734,0.9971837596889014,0.9976332474283452,0.9924125194592567,0.988439948617958,0.9723142366720191,0.7948200078404792,0.6645429991212001,0.9627887478671043,0.7704920769916745,0.5807707688051296,0.9839182258729654,0.7587241328810896,0.7442402954572847,0.9096712745507927,0.7608378688054388,0.9217724647117144,0.9972663854549759,0.9987046884702246,0.7908374027836292,-0.4268034404856371
AG,0.9960113834411881,0.9838371724935534,0.8540120079068434,0.9726159109763214,0.9781162123599766,0.9933997578445772,0.9961270636087305,0.9894259601718411,0.9967029628185734,1.0,0.9998082340977339,0.9991121603785688,0.9861345493421266,0.9953113953621303,0.9848952898947418,0.8389793646886846,0.7211846970128222,0.9761377229859937,0.77376916263088,0.5830818549477575,0.9886176372552579,0.7608890744074129,0.7453041439989614,0.9164109877736362,0.7627237504864882,0.9241999083151821,0.9997410234538282,0.9947315951914213,0.7997898790824935,-0.3892294674822798
