a,b,r
AG,ABC,0.9998082340977339
AG,EE,0.9997410234538282
F,redM1,0.9996764661237618
M1,SO,0.9996590356775682
ABC,EE,0.999564615623504
SCI,Energy,0.9993806377882608
AG,ABS,0.9991121603785688
ABC,ABS,0.9989648199077517
F,SO_red,0.9988914552974678
SCI,GA,0.9987936748948663
R,H,0.9987903447162875
Schultz,Gutman,0.9987261915840768
GA,Energy,0.9987046884702246
SO_red,redM1,0.9986720280061744
W,Schultz,0.9985944219301862
ABS,EE,0.9985920616748063
R,SCI,0.9984359348259507
SCI,H,0.9980935456291082
GA,ABS,0.9976332474283452
H,Energy,0.9976281904110509
M1,ABS,0.9975173755769562
GA,EE,0.9972663854549759
R,Energy,0.997217648031017
SCI,EE,0.9971871199991243
GA,ABC,0.9971837596889014
SCI,ABC,0.9969112283986482
GA,AG,0.9967029628185734
SO,SO_red,0.9964916325803732
ABS,SO,0.9961924442451138
SCI,AG,0.9961270636087305
M1,AG,0.9960113834411881
EE,Energy,0.9959920741671826
M1,M2,0.9956423567412089
M2,SO,0.9954500027128242
ABC,Energy,0.9954392273911793
AG,SO,0.9953113953621303
M2,redM1,0.9952759618000325
M2,F,0.9952449038263401
SCI,ABS,0.9951951548966841
R,EE,0.9950056450114261
M2,SO_red,0.9948789496976936
M1,EE,0.994839842801288
AG,Energy,0.9947315951914213
M1,ABC,0.9947246708673417
W,Gutman,0.9946591872856793
R,GA,0.9945738282231954
H,GA,0.9945649152815068
ABS,Energy,0.9943819130996769
M1,SO_red,0.9943691539294037
R,ABC,0.9942993950987715
SO,EE,0.9938786016728963
ABC,SO,0.993819899420505
Gutman,Sz,0.9937268058711328
R,AG,0.9933997578445772
F,SO,0.9931911661336681
GA,AZI,0.9924125194592567
SO,redM1,0.992301333801358
H,EE,0.9915249491277801
mM2,R,0.9914310816796567
M1,GA,0.9912379700474897
M1,F,0.9908700051863147
Schultz,Sz,0.9907670541721794
H,ABC,0.9907268870969123
R,ABS,0.9901994460907831
mM2,H,0.9900905931631564
M1,redM1,0.9900036256612297
ABS,AZI,0.9899390640074717
AZI,Energy,0.9896039638513853
H,AG,0.9894259601718411
HR,EE,0.9887357054375576
AG,HR,0.9886176372552579
GA,SO,0.988439948617958
M1,AZI,0.9881273847028617
M2,ABS,0.9875013408453054
SCI,AZI,0.9873802994766685
AZI,EE,0.9873406030763096
H,ABS,0.9872777294586895
ABC,HR,0.9872719060799731
ABS,HR,0.9869508271069722
M1,SCI,0.9867129341914688
M1,HR,0.9864295505371083
SO,HR,0.9861542737819593
AG,AZI,0.9861345493421266
M1,Energy,0.9859861851623053
ABS,SO_red,0.9855705064053994
ABC,AZI,0.9853364552082324
AG,SO_red,0.9848952898947418
W,Sz,0.9847929950695544
M2,AZI,0.9847622284267021
Mostar,PI,0.9846327299943557
AZI,SO,0.9842351358893907
SCI,SO,0.9841810250752135
GA,HR,0.9839182258729654
M2,AG,0.9838371724935534
SCI,HR,0.9834083392671772
mM2,SCI,0.9830971323306211
SO,Energy,0.9830043375357604
SO_red,EE,0.9824086033716344
ABC,SO_red,0.9823286531856487
M2,EE,0.9822879768724819
HR,Energy,0.9821811534276337
R,HR,0.9815538767681473
mM2,Energy,0.9814613183253225
M2,ABC,0.9812867926363226
H,AZI,0.981226237770226
M1,R,0.9801599706672379
R,AZI,0.9794820523773428
F,ABS,0.9793916108223059
M2,GA,0.978172883212503
R,SO,0.9781614318553103
F,AG,0.9781162123599766
SO_red,HR,0.9779800964545293
ABS,redM1,0.9779610237772991
M2,HR,0.9773764720749244
AZI,HR,0.9773460515167564
H,HR,0.9766969718987246
mM2,EE,0.9761783557600956
AG,redM1,0.9761377229859937
F,EE,0.9755947105851697
M1,H,0.9752323718056679
F,ABC,0.9748621735255955
mM2,ABC,0.9736313210732018
mM2,GA,0.9734538154881036
redM1,EE,0.9733543834271162
F,HR,0.9729222123485689
ABC,redM1,0.9728534983801768
mM2,AG,0.9726159109763214
GA,SO_red,0.9723142366720191
H,SO,0.9719917772573561
redM1,HR,0.9709089838098662
M2,Energy,0.9703780362306728
M2,SCI,0.9700155019992595
AZI,SO_red,0.969702471466346
F,AZI,0.9670591049780153
WW,Gutman,0.9667336209136258
SCI,SO_red,0.9666031655525383
AZI,redM1,0.9652437527418543
F,GA,0.9648792103941979
mM2,ABS,0.9648776101578458
SO_red,Energy,0.9647877510625305
HR,PI,0.9645608500495273
mM2,HR,0.964245852252661
GA,redM1,0.9627887478671043
Alb,Sigma,0.9624801464294777
WW,Schultz,0.9623344460147467
M2,R,0.960179235356274
R,SO_red,0.9598938211653536
HR,Mostar,0.9588885628985753
F,SCI,0.9578597229158408
F,Energy,0.9564731009801478
W,WW,0.9557891660734708
SCI,redM1,0.9550571198550641
M2,H,0.9546233649135968
redM1,Energy,0.9537766247804893
mM2,AZI,0.953622248812863
WW,Sz,0.951100270349182
M1,mM2,0.9506240999924311
H,SO_red,0.9502718309044959
F,R,0.9500619481419456
