alpha,beta,gamma,max_abs_r_baseline,most_correlated_baseline,raw_corr_target,partial_corr_target,kill_test
-1.0,-1.0,0.0,0.9813787018021184,mM2,-0.5374671957436737,0.0,FAIL
-1.0,-1.0,0.5,0.97900802936335,mM2,-0.5201177897143867,0.0,FAIL
-1.0,-1.0,1.0,0.9654555172795273,mM2,-0.49831151644905,0.0,FAIL
-1.0,-1.0,2.0,0.981682823634793,mM1,-0.44757540245837013,0.0,FAIL
-1.0,-0.5,0.0,0.9960360893689487,mM2,-0.560788335705065,0.0,FAIL
-1.0,-0.5,0.5,0.9923605474726064,mM2,-0.5434144401295234,0.0,FAIL
-1.0,-0.5,1.0,0.9777695074564424,mM2,-0.5213758360927576,0.0,FAIL
-1.0,-0.5,2.0,0.9893605458343736,mM1,-0.46902076188513797,0.0,FAIL
-1.0,0.0,0.0,1.0,mM2,-0.5749821808665357,0.0,FAIL
-1.0,0.0,0.5,0.9949282752300367,mM2,-0.5576482907891336,0.0,FAIL
-1.0,0.0,1.0,0.9796584694347584,mM2,-0.5357574235894087,0.0,FAIL
-1.0,0.0,2.0,0.9883707080605675,mM1,-0.4832461670482574,0.0,FAIL
-1.0,0.5,0.0,0.997807312102734,R,-0.5824656674898343,0.0,FAIL
-1.0,0.5,0.5,0.9906272301312721,mM2,-0.5651889860435967,0.0,FAIL
-1.0,0.5,1.0,0.9748933322083593,mM2,-0.5436567472222673,0.0,FAIL
-1.0,0.5,2.0,0.9819302040053824,mM1,-0.4919149341085733,0.0,FAIL
-1.0,1.0,0.0,0.9985316431602335,R,-0.5851137365260294,0.0,FAIL
-1.0,1.0,0.5,0.9913981477313606,EE,-0.5679260915219785,0.0,FAIL
-1.0,1.0,1.0,0.979450433268633,AG,-0.5468718299575644,0.0,FAIL
-1.0,1.0,2.0,0.9723675800553544,mM1,-0.4964323830658238,0.0,FAIL
-0.5,-1.0,0.0,0.9981757650002886,mM2,-0.579846216769595,0.0,FAIL
-0.5,-1.0,0.5,0.9991319257065694,mM2,-0.5655943495747687,0.0,FAIL
-0.5,-1.0,1.0,0.9904788494832987,mM2,-0.5467176627598781,0.0,FAIL
-0.5,-1.0,2.0,0.9783680411702893,mM1,-0.4984089930177306,0.0,FAIL
-0.5,-0.5,0.0,0.9979258253204516,H,-0.5879979730261365,0.0,FAIL
-0.5,-0.5,0.5,0.9961903431552757,mM2,-0.5736830203878944,0.0,FAIL
-0.5,-0.5,1.0,0.9866933887351537,mM2,-0.5551095015927485,0.0,FAIL
-0.5,-0.5,2.0,0.973311625378171,mM1,-0.5077770191674634,0.0,FAIL
-0.5,0.0,0.0,1.0,R,-0.5911765827843574,0.0,FAIL
-0.5,0.0,0.5,0.9964582835472797,R,-0.576757054561911,0.0,FAIL
-0.5,0.0,1.0,0.9875528650815039,AG,-0.5585235494514648,0.0,FAIL
-0.5,0.0,2.0,0.9648201514790125,mM1,-0.5125587733640382,0.0,FAIL
-0.5,0.5,0.0,0.9990714919692717,EE,-0.5907281416111545,0.0,FAIL
-0.5,0.5,0.5,0.9974161920949113,AG,-0.5762371883851601,0.0,FAIL
-0.5,0.5,1.0,0.9899635377997561,AG,-0.5583806250022155,0.0,FAIL
-0.5,0.5,2.0,0.9683880203068453,SO_red,-0.5139724247743349,0.0,FAIL
-0.5,1.0,0.0,1.0,AG,-0.5875648008565826,0.0,FAIL
-0.5,1.0,0.5,0.9973983369699965,AG,-0.5730882381296848,0.0,FAIL
-0.5,1.0,1.0,0.9905785234869791,SO,-0.5556552743731138,0.0,FAIL
-0.5,1.0,2.0,0.9739215387895843,SO_red,-0.5128861434170828,0.0,FAIL
0.0,-1.0,0.0,1.0,H,-0.5955403145601469,0.0,FAIL
0.0,-1.0,0.5,0.9993864219830496,R,-0.5835309108698654,0.0,FAIL
0.0,-1.0,1.0,0.9932648311495552,R,-0.5679320367318152,0.0,FAIL
0.0,-1.0,2.0,0.9670523611474102,AG,-0.5267844535987478,0.0,FAIL
0.0,-0.5,0.0,0.9999999999999999,SCI,-0.5955680417289817,0.0,FAIL
0.0,-0.5,0.5,0.9988235787121261,EE,-0.5832779564363592,0.0,FAIL
0.0,-0.5,1.0,0.995198744825027,AG,-0.5678555085985768,0.0,FAIL
0.0,-0.5,2.0,0.975401571274095,SO_red,-0.5281021087834715,0.0,FAIL
0.0,0.0,0.0,0.999265047095175,GA,-0.592765377532449,0.0,FAIL
0.0,0.0,0.5,0.9995595767832662,AG,-0.5802841046502635,0.0,FAIL
0.0,0.0,1.0,0.9951386618972196,AG,-0.5650816799633032,0.0,FAIL
0.0,0.0,2.0,0.9816462884107265,SO_red,-0.5267563877795136,0.0,FAIL
0.0,0.5,0.0,0.9997998851665578,ABS,-0.5877133781464678,0.0,FAIL
0.0,0.5,0.5,0.9987976760377115,SO,-0.5751761697935256,0.0,FAIL
0.0,0.5,1.0,0.9959989311034331,SO,-0.5602650470658677,0.0,FAIL
0.0,0.5,2.0,0.9851189125968363,SO_red,-0.5233894645122212,0.0,FAIL
0.0,1.0,0.0,1.0,M1,-0.5807587546909055,0.0,FAIL
0.0,1.0,0.5,0.9994451147280184,SO,-0.5683240340437258,0.0,FAIL
0.0,1.0,1.0,0.998079408054644,SO_red,-0.55379520762772,0.0,FAIL
0.0,1.0,2.0,0.9863757047425766,SO_red,-0.5184073925527356,-0.0006947781754776277,FAIL
0.5,-1.0,0.0,1.0,GA,-0.5967654932343094,0.0,FAIL
0.5,-1.0,0.5,0.9995614174590456,AG,-0.5859466659500838,0.0,FAIL
0.5,-1.0,1.0,0.99827493854124,AG,-0.5726866479594711,0.0,FAIL
0.5,-1.0,2.0,0.9860105958168618,SO_red,-0.5386094047885962,0.0,FAIL
0.5,-0.5,0.0,0.9995213597805278,ABS,-0.5920263989025937,0.0,FAIL
0.5,-0.5,0.5,0.9992592638348118,ABS,-0.5809896201248731,0.0,FAIL
0.5,-0.5,1.0,0.9978806273292211,SO,-0.5678367346451155,0.0,FAIL
0.5,-0.5,2.0,0.990157631904812,SO_red,-0.5349086201186014,0.0,FAIL
0.5,0.0,0.0,0.9994660459622402,M1,-0.585264822409483,0.0,FAIL
0.5,0.0,0.5,0.9998078722819302,SO,-0.5741899863886888,0.0,FAIL
0.5,0.0,1.0,0.9983059497404606,SO,-0.5612570199922733,0.0,FAIL
0.5,0.0,2.0,0.9919967883180371,SO_red,-0.5295304015828989,0.0,FAIL
0.5,0.5,0.0,0.9989791270518739,M1,-0.5766610584715457,0.0,FAIL
0.5,0.5,0.5,0.9988738362098273,SO,-0.5657375770073042,0.0,FAIL
0.5,0.5,1.0,0.9994072457469447,SO_red,-0.5531526365713807,0.0,FAIL
0.5,0.5,2.0,0.9918004105818269,SO_red,-0.5227194456341842,0.0,FAIL
0.5,1.0,0.0,0.9997080084004254,M2,-0.5662846541820753,0.001959687762210394,FAIL
0.5,1.0,0.5,0.9993831117332546,F,-0.5557016711242712,0.0014462584451335114,FAIL
0.5,1.0,1.0,0.9992866806322142,F,-0.5436031010742016,0.005557470510973564,FAIL
0.5,1.0,2.0,0.9909229400020497,F,-0.5145988772297311,0.0019814025789445092,FAIL
1.0,-1.0,0.0,0.9981078011984291,M1,-0.5889480484192,0.0,FAIL
1.0,-1.0,0.5,0.9996987795004316,M1,-0.5789858850034642,0.0,FAIL
1.0,-1.0,1.0,0.9992870143360295,SO,-0.5673875010463109,0.0,FAIL
1.0,-1.0,2.0,0.9950222609478485,SO_red,-0.5388978147873986,0.0,FAIL
1.0,-0.5,0.0,0.99855120925902,M1,-0.5804649443504688,0.0,FAIL
1.0,-0.5,0.5,0.9989664037671679,SO,-0.5705594896889622,0.0,FAIL
1.0,-0.5,1.0,0.9988072068509524,SO_red,-0.5591888240468194,0.0,FAIL
