,M1,M2,mM1,mM2,F,R,SCI,H,GA,AG,ABC,ABS,AZI,SO,SO_red,Alb,Sigma,redM1,W,WW,HR,Schultz,Gutman,Mostar,Sz,PI,EE,Energy,SpecRad,Balaban_J
M1,1.0,0.9957861318481868,0.7831428335233507,0.9299112401007742,0.9881937958392658,0.9755739243900549,0.9832304699441589,0.9666649468053858,0.9878824767940431,0.9959302530788261,0.99424820921672,0.9971579096301452,0.9723984939630362,0.9993433138860904,0.990833381229995,0.7717283430760371,0.6061086034109706,0.9864205512924797,0.8987513412866758,0.8492961475055301,0.9860701599553338,0.9101058538122974,0.9156614032179682,0.9005253245835453,0.9231515365566316,0.9559855121108621,0.9940852597117199,0.9805706986523163,0.8368172917273621,0.01221161775891299
M2,0.9957861318481868,1.0,0.7630068715276609,0.906594293644871,0.9900779721324973,0.9576113228502725,0.9686717078623305,0.9489227133699611,0.9770416360397051,0.9844102011258246,0.981252182933338,0.9879595365735777,0.9708157472328132,0.9947123370995579,0.9895239786279174,0.7573910682838912,0.5955386445293385,0.9898434268297419,0.8844049173312108,0.8309560018645811,0.9795381233926561,0.8997733446609287,0.9092299069947145,0.889528476628974,0.921110170643065,0.952028303130076,0.9825481797729195,0.9680093381093243,0.8247180402931249,-0.03074905140251675
mM1,0.7831428335233507,0.7630068715276609,1.0,0.8043839487472846,0.820641007157117,0.7835370040596045,0.7560423659181025,0.7435718894420449,0.7363746658170106,0.7970438263548212,0.7908303196099564,0.769141115522608,0.6819854030840027,0.8000457682208353,0.826787603445208,0.9058724990188726,0.8271657295923204,0.817509758403753,0.8207263702148184,0.797338212046658,0.8187149185203901,0.7955403020745474,0.7658569717225503,0.8624692214262352,0.7431118579111115,0.7935160864532722,0.7944169434712417,0.7390242193315759,0.6051747741339768,0.45297154331150913
mM2,0.9299112401007742,0.906594293644871,0.8043839487472846,1.0,0.8870851899344863,0.9845825325109898,0.9722907415211023,0.9835478582452399,0.959391596786858,0.9549227455095258,0.9532080088008423,0.9443615417109235,0.9452226433567813,0.9258647554934115,0.8951404793932105,0.6718734833269793,0.47980581820481955,0.8782440989866228,0.9258425978048018,0.8969897087031966,0.9548697638618913,0.9194534500371614,0.9081515704043213,0.9183125334274623,0.8912018614875176,0.9295866575089853,0.9623443069099342,0.9699899913352916,0.7121869802329343,0.10682195916515719
F,0.9881937958392658,0.9900779721324973,0.820641007157117,0.8870851899344863,1.0,0.9390929992805056,0.9468504160968854,0.921742266886915,0.9532174192138452,0.9757024085781142,0.9718310831269089,0.9749667777089899,0.9348140909644133,0.9921612036268097,0.9989707648333169,0.8365082950291777,0.7025124088734105,0.9994699724490025,0.8810154106387075,0.8291183337301372,0.9712011546756137,0.8917092246899898,0.8965373561046606,0.8958819746564104,0.9040774683465781,0.9404595062811842,0.971076877266733,0.9419679824752336,0.8325668314059176,0.06169422329003307
R,0.9755739243900549,0.9576113228502725,0.7835370040596045,0.9845825325109898,0.9390929992805056,1.0,0.9978134452233719,0.9977303752214453,0.9928303846388279,0.9901150375010568,0.9901086271187299,0.9862831440601906,0.9762231108664531,0.9718221545913922,0.946461167190051,0.7075028010238456,0.5187464002859578,0.9329490014326943,0.920173117605244,0.8818387853527291,0.9795253037484299,0.922592716962547,0.919686759199087,0.9120624655359346,0.9142766420494182,0.9497174732788662,0.9933548350883912,0.995386987891532,0.7935715098453475,0.054027312569286
SCI,0.9832304699441589,0.9686717078623305,0.7560423659181025,0.9722907415211023,0.9468504160968854,0.9978134452233719,1.0,0.9969151644062416,0.9985042121941727,0.9934041921635215,0.993647082068499,0.9927823192121551,0.9847446536046025,0.978624629711126,0.9534123806224148,0.6973224149812283,0.5070780838019006,0.9417431192697656,0.9102615355496313,0.8686053937127256,0.9803397433015422,0.9169388924625251,0.9181804671716222,0.90043617159635,0.9176892905180795,0.9505510422116042,0.995783249789482,0.9986270387022693,0.8085334174236958,0.01193991218056713
H,0.9666649468053858,0.9489227133699611,0.7435718894420449,0.9835478582452399,0.921742266886915,0.9977303752214453,0.9969151644062416,1.0,0.9925645182084222,0.9823615485773446,0.9827164570070464,0.9803458926187483,0.9815145234104997,0.9605611458239539,0.9291102612663797,0.6610439314731918,0.4635590851250679,0.9151132071056617,0.9104814726589826,0.8726917839908099,0.9705788140961381,0.9147119921648932,0.9137065650700892,0.897172251642763,0.9089097325490916,0.9420272881842023,0.9869095985542283,0.996350275947638,0.7815006885435767,0.013616052183828947
GA,0.9878824767940431,0.9770416360397051,0.7363746658170106,0.959391596786858,0.9532174192138452,0.9928303846388279,0.9985042121941727,0.9925645182084222,1.0,0.9937171581926754,0.9938184579492171,0.9955495356327229,0.9891834629813258,0.9828001049738078,0.9587366606512163,0.6911983662687985,0.5010870397367726,0.9491695646793162,0.9015359068403823,0.856947062714365,0.9800184343054555,0.9117018861141283,0.9163302349982029,0.8913762432223797,0.9200820513373869,0.9508029991463529,0.9953823408341451,0.9980521569074676,0.816585935533005,-0.021983983474163034
AG,0.9959302530788261,0.9844102011258246,0.7970438263548212,0.9549227455095258,0.9757024085781142,0.9901150375010568,0.9934041921635215,0.9823615485773446,0.9937171581926754,1.0,0.9994502829459049,0.998648180254635,0.973506826235969,0.9948656763044844,0.98101444079445,0.7647513331146322,0.5923116234506836,0.9721639170392552,0.9114656907522164,0.8665676820153339,0.987913247940008,0.9183964371696642,0.9196963970426912,0.9099412125964705,0.9216731090211115,0.9564778964078989,0.9994408209078474,0.9897442712510857,0.8318424465083543,0.04760091211864374
ABC,0.99424820921672,0.981252182933338,0.7908303196099564,0.9532080088008423,0.9718310831269089,0.9901086271187299,0.993647082068499,0.9827164570070464,0.9938184579492171,0.9994502829459049,1.0,0.9986520982754231,0.9724806683924403,0.992984516706916,0.9780510739459656,0.760252049519959,0.5861738983829067,0.9682137754874495,0.9061713325844781,0.8613112043274043,0.98435870068585,0.9131081825928483,0.9144554842473076,0.9034951222710854,0.9167596806051779,0.9514806691026095,0.998690593408164,0.9897436909206118,0.8414358676047298,0.052911979909402475
ABS,0.9971579096301452,0.9879595365735777,0.769141115522608,0.9443615417109235,0.9749667777089899,0.9862831440601906,0.9927823192121551,0.9803458926187483,0.9955495356327229,0.998648180254635,0.9986520982754231,1.0,0.9785964341314919,0.9950012067771591,0.9799675275693227,0.7463880709057692,0.570130201776526,0.9721687745399925,0.9001549206685702,0.8530290254431325,0.9843611632954763,0.9103156169430433,0.9148017261905569,0.896474772492615,0.9205913292471343,0.9530118165873808,0.99778357176389,0.9902292112330033,0.8404868949233864,0.01322651262117407
AZI,0.9723984939630362,0.9708157472328132,0.6819854030840027,0.9452226433567813,0.9348140909644133,0.9762231108664531,0.9847446536046025,0.9815145234104997,0.9891834629813258,0.973506826235969,0.9724806683924403,0.9785964341314919,1.0,0.9641781760202692,0.9358736286414685,0.620219655398863,0.4274095195804087,0.9306200853662064,0.8832394446708871,0.8358174563087053,0.9664655275044842,0.8979867414916157,0.907262850090843,0.8732054068208954,0.9132789627579694,0.9413363252070475,0.9778878875650392,0.9889602423594732,0.7880273246149444,-0.08913898101212193
SO,0.9993433138860904,0.9947123370995579,0.8000457682208353,0.9258647554934115,0.9921612036268097,0.9718221545913922,0.978624629711126,0.9605611458239539,0.9828001049738078,0.9948656763044844,0.992984516706916,0.9950012067771591,0.9641781760202692,1.0,0.9947278832828311,0.7934395974185572,0.6342280149179444,0.990448744052455,0.899153678579253,0.8499123588134646,0.9853566364786158,0.909336373666454,0.9137158923485112,0.9035956035314259,0.9203434651878203,0.9545241442902671,0.9923090097877425,0.9748914045762561,0.8393979679186299,0.03572268343622201
SO_red,0.990833381229995,0.9895239786279174,0.826787603445208,0.8951404793932105,0.9989707648333169,0.946461167190051,0.9534123806224148,0.9291102612663797,0.9587366606512163,0.98101444079445,0.9780510739459656,0.9799675275693227,0.9358736286414685,0.9947278832828311,1.0,0.84014135715084,0.6994341742739432,0.9985860234170439,0.885956417310574,0.8350663033285846,0.9743272891436286,0.8956623511188414,0.8995049669034191,0.8985708022451719,0.9074264277416662,0.9431286595751934,0.9762425661681372,0.9478502732804274,0.8387663407291004,0.07063850599018322
Alb,0.7717283430760371,0.7573910682838912,0.9058724990188726,0.6718734833269793,0.8365082950291777,0.7075028010238456,0.6973224149812283,0.6610439314731918,0.6911983662687985,0.7647513331146322,0.760252049519959,0.7463880709057692,0.620219655398863,0.7934395974185572,0.84014135715084,1.0,0.9463183999651302,0.8360568138067436,0.7131844763739383,0.6804220961680201,0.7599739859481254,0.7001489644052333,0.6825341426832794,0.7545710941147342,0.6719288203202909,0.7215975458458221,0.7516525914014409,0.675963789104437,0.7011641346661187,0.4185543645534111
Sigma,0.6061086034109706,0.5955386445293385,0.8271657295923204,0.47980581820481955,0.7025124088734105,0.5187464002859578,0.5070780838019006,0.4635590851250679,0.5010870397367726,0.5923116234506836,0.5861738983829067,0.570130201776526,0.4274095195804087,0.6342280149179444,0.6994341742739432,0.9463183999651302,1.0,0.700670195885009,0.5574858871449465,0.5314948530857041,0.5912536999647793,0.540786049118868,0.5204941474176701,0.6165270984648168,0.5034311837103576,0.554834224393857,0.5752985226829122,0.4825205670374496,0.5828021207732841,0.5084280559160613
