M1,M2,mM1,mM2,F,R,SCI,H,GA,AG,ABC,ABS,AZI,SO,SO_red,Alb,Sigma,redM1,W,WW,HR,Schultz,Gutman,Mostar,Sz,PI,EE,Energy,SpecRad,Balaban_J,dG_hyd
60.0,67.0,5.694444444444445,3.0555555555555554,152.0,6.147065707741406,6.129914827617143,5.833333333333334,12.439864738501736,13.627865417715865,9.439677325608894,9.618860683185234,96.90625,43.892792959055825,26.66562126173752,12.0,18.0,21.0,260.0,695.0,33.42142857142857,977.0,907.0,81.0,380.0,150.0,30.536565865466173,16.051961930649306,2.288245611270738,2.31694933124977,-11.01
20.0,16.0,4.0625,1.0,68.0,2.0,1.7888543819998317,1.6,3.2,5.0,3.4641016151377544,3.0983866769659336,9.48148148148148,16.492422502470642,12.0,12.0,36.0,9.0,16.0,22.0,7.0,44.0,28.0,12.0,16.0,12.0,10.524391382167263,4.0,2.0,3.0237157840738176,-4.87
16.0,14.0,3.361111111111111,1.3333333333333333,38.0,2.2700556100296625,2.0245638646895836,2.0666666666666664,3.654655746264212,4.390681974697982,3.047206724228547,2.766160500804204,22.75,12.166174573300538,7.23606797749979,6.0,10.0,5.0,18.0,28.0,6.666666666666666,52.0,36.0,10.0,18.0,12.0,10.118119614388574,5.226251859505507,1.8477590650225741,2.5395388613593903,1.83
34.0,36.0,2.611111111111111,2.0,76.0,3.931851652578137,3.9189910556894993,3.8666666666666667,7.8821967329218765,8.122522350258794,5.6568542494923815,5.729567401660267,64.0,24.366430302876523,13.365058181991753,4.0,4.0,10.0,64.0,122.0,15.783333333333333,246.0,234.0,22.0,109.0,50.0,18.47902253715965,10.424292428609817,2.1357792050698574,2.1250162554146717,-5.45
26.0,24.0,3.5,2.25,50.0,3.914213562373095,3.6547005383792515,3.833333333333333,6.885618083164127,7.121320343559642,4.949747468305834,4.69023444431199,56.0,18.61427157873053,9.071067811865476,2.0,2.0,6.0,84.0,210.0,13.742857142857144,280.0,231.0,24.0,84.0,42.0,16.754072029940975,9.517540966287266,1.8793852415718166,2.53006045688352,-4.21
42.0,45.0,4.083333333333334,2.0,108.0,4.181540550352056,4.183281572999747,3.9,8.476851594032942,9.587825972095702,6.692130429902464,6.768900359008543,58.125,31.12014063328907,19.41640786499874,12.0,18.0,15.0,84.0,159.0,19.499999999999996,315.0,291.0,27.0,144.0,66.0,21.17608116869581,10.12899020449196,2.2360679774997894,2.340851616437875,-6.27
22.0,21.0,4.222222222222222,1.4444444444444442,58.0,2.6427344100918364,2.408248290463863,2.333333333333333,4.464101615137754,5.618802153517007,3.932652990377571,3.644923705673916,24.890625,16.891751327792804,10.82842712474619,8.0,16.0,8.0,29.0,47.0,9.333333333333332,86.0,61.0,16.0,29.0,20.0,12.61055265179775,6.0,2.0,2.9934972434784735,2.34
28.0,26.0,4.5625,1.625,84.0,3.060660171779821,2.8272393461533625,2.6999999999999997,5.285618083164127,6.871320343559642,4.719396554912958,4.42474363902835,31.11111111111111,21.905947934098542,14.576491222541474,12.0,32.0,11.0,46.0,84.0,12.083333333333332,142.0,106.0,24.0,46.0,30.0,15.103441111348037,6.720566232730447,2.1010029896154583,3.154490065368808,-3.92
36.0,39.0,3.2222222222222223,1.8611111111111112,88.0,3.804530452640311,3.802675481463779,3.6333333333333333,7.691642601795419,8.350642529077819,5.835193734454857,5.901223825343431,58.140625,26.26357993262259,15.543203766865057,6.0,10.0,12.0,60.0,106.0,16.166666666666664,228.0,214.0,20.0,106.0,50.0,18.69255664280207,9.953959938490609,2.193527085331054,2.2794002709583667,1.58
16.0,14.0,3.361111111111111,1.3333333333333333,38.0,2.270055610029662,2.0245638646895836,2.0666666666666664,3.6546557462642113,4.390681974697982,3.0472067242285474,2.766160500804204,22.75,12.16617457330054,7.23606797749979,6.0,10.0,5.0,18.0,28.0,6.666666666666666,52.0,36.0,10.0,18.0,12.0,10.118119614388581,5.226251859505506,1.8477590650225744,2.5395388613593908,-4.62
