descriptor,raw_corr_y,partial_corr_y
W,-0.272942042023171,0.06690037493418183
WW,-0.25063521284012175,-0.05780912572773827
Energy,-0.3589953049510666,-0.054373560599789275
Gutman,-0.2721306196193579,0.05259715895233452
Sz,-0.2781704511539631,0.05217073255793518
Schultz,-0.27393492272608916,-0.051855311830962925
HR,-0.3310502677092289,-0.04582007877506367
Balaban_J,0.025759091432737854,-0.0345786915450666
Mostar,-0.27034818943998895,0.033166655131147464
Alb,-0.25591323378159486,0.022052557855750367
SpecRad,-0.3479365491670297,0.01859995942308065
EE,-0.35202384133797604,-0.017668947081709265
AZI,-0.34427377911455653,0.01355902283598329
PI,-0.29994509905933703,-0.012864195847592517
ABC,-0.3537755332775522,0.0
SCI,-0.3558579019073377,0.0
mM1,-0.2422216164799831,0.0
mM2,-0.3334048642587799,0.0
F,-0.3299823363549523,0.0
R,-0.3509941415573479,0.0
H,-0.3520337463900293,0.0
ABS,-0.35645611495267443,0.0
GA,-0.3584437860815606,0.0
AG,-0.35265629410295823,0.0
redM1,-0.3326116681592628,0.0
Sigma,-0.13589937786545278,0.0
M2,-0.34564705206703344,0.0
SO_red,-0.33793894683258885,0.0
SO,-0.34805060181511405,0.0
M1,-0.3511159793764629,0.0
