component,var_explained,cumulative
1,0.8659103031467644,0.8659103031467644
2,0.06779286231424056,0.933703165461005
3,0.03561385291171884,0.9693170183727238
4,0.02025496683235924,0.989571985205083
5,0.0042149122072789496,0.993786897412362
6,0.0023109103165669474,0.996097807728929
7,0.0013611119655324298,0.9974589196944614
8,0.0011920959648973623,0.9986510156593588
9,0.0005415723881260785,0.9991925880474849
10,0.0003419317126707248,0.9995345197601556
11,0.0002628514418488546,0.9997973712020045
12,8.308582847740636e-05,0.9998804570304819
13,5.827553736476366e-05,0.9999387325678467
14,2.9735351669297696e-05,0.999968467919516
15,1.9156059283038447e-05,0.999987623978799
16,5.186761547646615e-06,0.9999928107403466
17,4.45752184849237e-06,0.9999972682621951
18,1.7847388039174592e-06,0.9999990530009991
19,6.352182813789079e-07,0.9999996882192805
20,2.6919757183680966e-07,0.9999999574168523
21,3.603199221906913e-08,0.9999999934488445
22,6.551155504871516e-09,1.0
23,1.0806551432022948e-16,1.0
24,1.0266377266344547e-16,1.0
25,5.114986831488619e-17,1.0
26,1.891658489229416e-17,1.0
27,1.5981929748617998e-17,1.0
28,0.0,1.0
29,0.0,1.0
30,0.0,1.0
