a,b,r
F,redM1,0.9994699724490025
AG,ABC,0.9994502829459049
AG,EE,0.9994408209078474
M1,SO,0.9993433138860904
F,SO_red,0.9989707648333169
ABC,EE,0.998690593408164
ABC,ABS,0.9986520982754231
AG,ABS,0.998648180254635
SCI,Energy,0.9986270387022693
SO_red,redM1,0.9985860234170439
SCI,GA,0.9985042121941727
GA,Energy,0.9980521569074676
R,SCI,0.9978134452233719
ABS,EE,0.99778357176389
R,H,0.9977303752214453
M1,ABS,0.9971579096301452
Schultz,Gutman,0.9970925421030783
W,Schultz,0.9970861034015346
SCI,H,0.9969151644062416
H,Energy,0.996350275947638
M1,AG,0.9959302530788261
M1,M2,0.9957861318481868
SCI,EE,0.995783249789482
GA,ABS,0.9955495356327229
R,Energy,0.995386987891532
GA,EE,0.9953823408341451
ABS,SO,0.9950012067771591
AG,SO,0.9948656763044844
SO,SO_red,0.9947278832828311
M2,SO,0.9947123370995579
M1,ABC,0.99424820921672
M1,EE,0.9940852597117199
GA,ABC,0.9938184579492171
GA,AG,0.9937171581926754
SCI,ABC,0.993647082068499
SCI,AG,0.9934041921635215
R,EE,0.9933548350883912
W,WW,0.9932655170662852
ABC,SO,0.992984516706916
R,GA,0.9928303846388279
SCI,ABS,0.9927823192121551
EE,Energy,0.9927354264978605
H,GA,0.9925645182084222
SO,EE,0.9923090097877425
F,SO,0.9921612036268097
M1,SO_red,0.990833381229995
SO,redM1,0.990448744052455
ABS,Energy,0.9902292112330033
R,AG,0.9901150375010568
R,ABC,0.9901086271187299
M2,F,0.9900779721324973
Gutman,PI,0.9898697689351744
M2,redM1,0.9898434268297419
AG,Energy,0.9897442712510857
ABC,Energy,0.9897436909206118
Sz,PI,0.9895861823590951
M2,SO_red,0.9895239786279174
GA,AZI,0.9891834629813258
AZI,Energy,0.9889602423594732
HR,EE,0.9888995566531936
W,Gutman,0.9884024925552509
M1,F,0.9881937958392658
M2,ABS,0.9879595365735777
AG,HR,0.987913247940008
M1,GA,0.9878824767940431
HR,PI,0.9878527123309208
WW,Schultz,0.9871907991266776
Gutman,Sz,0.9870262279085144
H,EE,0.9869095985542283
M1,redM1,0.9864205512924797
Schultz,PI,0.9863790545613015
R,ABS,0.9862831440601906
M1,HR,0.9860701599553338
W,Mostar,0.9855861338148526
SO,HR,0.9853566364786158
SCI,AZI,0.9847446536046025
mM2,R,0.9845825325109898
M2,AG,0.9844102011258246
ABS,HR,0.9843611632954763
ABC,HR,0.98435870068585
mM2,H,0.9835478582452399
M1,SCI,0.9832304699441589
GA,SO,0.9828001049738078
H,ABC,0.9827164570070464
M2,EE,0.9825481797729195
H,AG,0.9823615485773446
H,AZI,0.9815145234104997
M2,ABC,0.981252182933338
AG,SO_red,0.98101444079445
M1,Energy,0.9805706986523163
H,ABS,0.9803458926187483
SCI,HR,0.9803397433015422
GA,HR,0.9800184343054555
ABS,SO_red,0.9799675275693227
Schultz,Mostar,0.9796606169229121
M2,HR,0.9795381233926561
R,HR,0.9795253037484299
SCI,SO,0.978624629711126
ABS,AZI,0.9785964341314919
Schultz,Sz,0.9781836738056162
ABC,SO_red,0.9780510739459656
AZI,EE,0.9778878875650392
M2,GA,0.9770416360397051
W,PI,0.976993297892613
HR,Energy,0.9769085249759991
SO_red,EE,0.9762425661681372
R,AZI,0.9762231108664531
F,AG,0.9757024085781142
M1,R,0.9755739243900549
WW,Gutman,0.9755139859969048
F,ABS,0.9749667777089899
SO,Energy,0.9748914045762561
SO_red,HR,0.9743272891436286
AG,AZI,0.973506826235969
ABC,AZI,0.9724806683924403
M1,AZI,0.9723984939630362
mM2,SCI,0.9722907415211023
ABS,redM1,0.9721687745399925
AG,redM1,0.9721639170392552
F,ABC,0.9718310831269089
