descriptor,R2_vs_rest,VIF
M1,1.0,inf
ABC,1.0,inf
redM1,1.0,inf
Sigma,1.0,inf
M2,1.0,inf
SO_red,1.0,inf
SO,1.0,inf
AZI,1.0,inf
ABS,1.0,inf
Alb,1.0,inf
AG,1.0,inf
H,1.0,inf
SCI,1.0,inf
R,1.0,inf
F,1.0,inf
mM2,1.0,inf
mM1,1.0,inf
GA,1.0,inf
Schultz,0.9999983792448537,616996.3441264087
W,0.9999939110001491,164230.58375585722
Gutman,0.9999937274175726,159423.9711603448
EE,0.9999585217562525,24109.024627193132
HR,0.9999555618426409,22503.183287258697
WW,0.9998515372534104,6735.696482593476
PI,0.9998412431284638,6298.939947124675
Energy,0.9989710115845234,971.828239229322
Sz,0.9987837306297901,822.1862890680331
Mostar,0.9967441943377301,307.1436393113257
SpecRad,0.9925210712663547,133.7089890295812
Balaban_J,0.9805246815889995,51.34704238956926
