alpha,beta,gamma,max_abs_r_baseline,most_correlated_baseline,raw_corr_target,partial_corr_target,screen_verdict
-1.0,-1.0,0.0,0.9524252143685018,mM2,-0.2853649847821268,0.0,FAIL
-1.0,-1.0,0.5,0.9564214777959849,mM2,-0.29060157511614526,0.0,FAIL
-1.0,-1.0,1.0,0.9426297228280287,mM2,-0.2900188978412841,0.0,PASS
-1.0,-1.0,2.0,0.9623521258955805,mM1,-0.2745123585975033,0.0,FAIL
-1.0,-0.5,0.0,0.9903991495439269,mM2,-0.3153854871107369,0.0,FAIL
-1.0,-0.5,0.5,0.9870038035089276,mM2,-0.3173532515927738,0.0,FAIL
-1.0,-0.5,1.0,0.9658072209164587,mM2,-0.3129562296137896,0.0,FAIL
-1.0,-0.5,2.0,0.9814752113152839,mM1,-0.2890319309292257,0.0,FAIL
-1.0,0.0,0.0,1.0,mM2,-0.3334048642587799,0.0,FAIL
-1.0,0.0,0.5,0.991453483083004,mM2,-0.33261775793525805,0.0,FAIL
-1.0,0.0,1.0,0.9661290933985108,mM2,-0.3253871125517706,0.0,FAIL
-1.0,0.0,2.0,0.9834372971549472,mM1,-0.2956857002613199,0.0,FAIL
-1.0,0.5,0.0,0.9966097511367936,R,-0.34309470146554294,0.0,FAIL
-1.0,0.5,0.5,0.9847744043828923,R,-0.3399497927672341,0.0,FAIL
-1.0,0.5,1.0,0.9613455810029703,AG,-0.3305729565168757,0.0,FAIL
-1.0,0.5,2.0,0.9755848274452554,mM1,-0.2969194454939343,0.0,FAIL
-1.0,1.0,0.0,0.99720661334752,R,-0.3473204657762321,0.0,FAIL
-1.0,1.0,0.5,0.9873523843777026,AG,-0.3421572396118642,0.0,FAIL
-1.0,1.0,1.0,0.9687938410078656,SO_red,-0.33110547802715273,0.0,FAIL
-1.0,1.0,2.0,0.9629611317787115,mM1,-0.29465610247850416,0.0,FAIL
-0.5,-1.0,0.0,0.9965604181088356,mM2,-0.33273780137975106,0.0,FAIL
-0.5,-1.0,0.5,0.9986544821754672,mM2,-0.3360976437908238,0.0,FAIL
-0.5,-1.0,1.0,0.9847642051334864,mM2,-0.333398277150272,0.0,FAIL
-0.5,-1.0,2.0,0.968121090799173,mM1,-0.3111416260233332,0.0,FAIL
-0.5,-0.5,0.0,0.9967352990642889,H,-0.3447960565426487,0.0,FAIL
-0.5,-0.5,0.5,0.9934200843536477,R,-0.34587569983964855,0.0,FAIL
-0.5,-0.5,1.0,0.9771956132601722,R,-0.34105485771185134,0.0,FAIL
-0.5,-0.5,2.0,0.963902579443275,mM1,-0.3148628651378564,0.0,FAIL
-0.5,0.0,0.0,1.0,R,-0.350994141557348,0.0,FAIL
-0.5,0.0,0.5,0.9941243713466079,R,-0.34998439028476164,0.0,FAIL
-0.5,0.0,1.0,0.9818403592415902,AG,-0.3433934152778604,0.0,FAIL
-0.5,0.0,2.0,0.9537527690300537,mM1,-0.3143452142834986,0.0,FAIL
-0.5,0.5,0.0,0.9990010478495825,EE,-0.3532276587254236,0.0,FAIL
-0.5,0.5,0.5,0.9963005631987439,AG,-0.3503899938187736,0.0,FAIL
-0.5,0.5,1.0,0.9840827230283495,AG,-0.342335657208884,0.0,FAIL
-0.5,0.5,2.0,0.9567398846892615,SO_red,-0.3111510945773974,0.0,FAIL
