,M1,M2,mM1,mM2,F,R,SCI,H,GA,AG,ABC,ABS,AZI,SO,SO_red,Alb,Sigma,redM1,W,WW,HR,Schultz,Gutman,Mostar,Sz,PI,EE,Energy,SpecRad,Balaban_J
M1,1.0,0.9959855556967393,0.8385466121416688,0.9706972030454223,0.9906159632057969,0.9865979770401314,0.99035607426601,0.983007055499466,0.9927607838708813,0.9968558713848372,0.9959074073066284,0.9981036012111003,0.9848590539465206,0.9995171884991783,0.9933152236153769,0.8136733782365668,0.6235506675169952,0.9891620482439962,0.7744320718427503,0.6256320244104767,0.9825530652698714,0.7902589235682805,0.804198502493343,0.8915389498842335,0.7898405831910897,0.9363911317147386,0.9963896379511851,0.9879672512061448,0.4238577642181102,-0.6347508743436153
M2,0.9959855556967393,1.0,0.8164382382098094,0.9505868804046083,0.991641983486077,0.9709100317810507,0.9776660862805202,0.9678287241990748,0.983373860483629,0.9862188669418771,0.9843241980213043,0.9899896842101048,0.9844818708109775,0.9949256588545295,0.9916101755945308,0.7961451086245931,0.6078041528633981,0.9920742484301162,0.7478860320164308,0.5977492599444544,0.9733356089491715,0.7650468933531794,0.7804250084140464,0.8750261436291334,0.7684060531685154,0.9206495709300421,0.9861193247333598,0.9757122728985826,0.48785815704431557,-0.6350916600210091
mM1,0.8385466121416688,0.8164382382098094,1.0,0.862012506037464,0.8650877374598374,0.8434498087914678,0.8232660842785847,0.816758951292411,0.8074370363833238,0.8519938081509657,0.849551028090433,0.8314764900172531,0.758883824204724,0.8519078368618241,0.8721603993093426,0.9169505333384601,0.8376591831922628,0.862549037610179,0.7399790452454847,0.6200625880487036,0.8712769803774739,0.7353242840335564,0.7280935235629417,0.8360198808241471,0.7263809656602916,0.82486851263344,0.847664947755433,0.8128873998333022,0.27815058568293,-0.21501653433237322
mM2,0.9706972030454223,0.9505868804046083,0.862012506037464,1.0,0.9417699381228876,0.9956973157061938,0.9905256630471363,0.9936291442564991,0.9840568889676493,0.9853457009685723,0.9863069865104186,0.9804709250865996,0.9651608936019999,0.9693412113326952,0.9509649633010474,0.7772277468167673,0.5724041901249091,0.9364962703509896,0.8164012025676363,0.6757021829655913,0.9779998247131201,0.8273161918305633,0.8360983678661018,0.9131188167464752,0.8187262367807122,0.9468747815264822,0.9867583718218917,0.9898264578651155,0.27613564124887585,-0.5802777608464368
F,0.9906159632057969,0.991641983486077,0.8650877374598374,0.9417699381228876,1.0,0.9607392845800626,0.9641636640678489,0.9517235057271795,0.9673893260178302,0.9813179706948865,0.9788142309678404,0.9810918959231555,0.9581777354738412,0.9935260885891998,0.9992120060277551,0.8622374681577347,0.7051772660638269,0.9995394792926671,0.7501916664606944,0.601431172429897,0.9701362459478722,0.7645733765139958,0.7770492028170317,0.876188950932042,0.7663018274238149,0.9150778660111415,0.9792324298698569,0.9596165611333887,0.4793594238731427,-0.579230786411686
R,0.9865979770401314,0.9709100317810507,0.8434498087914678,0.9956973157061938,0.9607392845800626,1.0,0.9988040826927143,0.9987470422747193,0.9957738166192922,0.9958050383744376,0.9965678392027957,0.9938764100429753,0.9803667810600297,0.9848300458008982,0.9682442457737915,0.7830554436096864,0.5774698017826109,0.9564066132504083,0.806865093757589,0.662866125289442,0.9831129742412359,0.8204665586284983,0.8320539158846089,0.9079653695557933,0.81416097719026,0.949208669933732,0.9965701727405327,0.9977997722229833,0.31524887021044373,-0.6256051282051341
SCI,0.99035607426601,0.9776660862805202,0.8232660842785847,0.9905256630471363,0.9641636640678489,0.9988040826927143,1.0,0.9989051682207201,0.9990399056854455,0.9966705762752991,0.997330245836155,0.9967723366120553,0.9876273962073766,0.9877544195575662,0.9707662540072967,0.7714926077659993,0.5614180558877936,0.9604455813400008,0.7973940142376447,0.652117614151094,0.9815788013671106,0.8126093823740382,0.825894454765804,0.9010713098449462,0.8078198949032097,0.9464097411544504,0.9975418076944048,0.9993640583976384,0.3368582533336817,-0.6508796914511922
H,0.983007055499466,0.9678287241990748,0.816758951292411,0.9936291442564991,0.9517235057271795,0.9987470422747193,0.9989051682207201,1.0,0.9967523826919514,0.9923487739993293,0.9934266397535029,0.9919374343897402,0.9848479191252282,0.9797360864782843,0.9593912227048615,0.7541430878247846,0.5389132420800753,0.9472638813805677,0.8015582878784951,0.6579030964680505,0.9778201902253307,0.8163525122652245,0.8292027520864824,0.9013819608910297,0.8102036768743189,0.945858030414705,0.9937806454272916,0.9989572199275244,0.3101993464036817,-0.6488466280689321
GA,0.9927607838708813,0.983373860483629,0.8074370363833238,0.9840568889676493,0.9673893260178302,0.9957738166192922,0.9990399056854455,0.9967523826919514,1.0,0.9960107272560947,0.9964349471991981,0.9978481708234493,0.992539852199799,0.9895696455505582,0.9729678619246268,0.7625841987639286,0.5499040869487248,0.9644354817350428,0.7870414854704539,0.6406087796288434,0.9795354620257872,0.8035266498099379,0.8181513619628987,0.8941388737775875,0.8004049166342827,0.9423353342499158,0.9969709576103566,0.9986518393400826,0.3621253836975884,-0.6675456225926736
AG,0.9968558713848372,0.9862188669418771,0.8519938081509657,0.9853457009685723,0.9813179706948865,0.9958050383744376,0.9966705762752991,0.9923487739993293,0.9960107272560947,1.0,0.9998921412969695,0.9990767875540855,0.9819739554150381,0.996412968257631,0.9864954669533621,0.8136183161387475,0.6199967308079105,0.9783255127236044,0.7945918330344628,0.6478872798900279,0.9861873232946569,0.8090004726596483,0.8214332821722194,0.9032399394267075,0.8053248222974423,0.9459397138140399,0.9996859277938991,0.9943951141330488,0.3673245786132636,-0.6267080569149739
ABC,0.9959074073066284,0.9843241980213043,0.849551028090433,0.9863069865104186,0.9788142309678404,0.9965678392027957,0.997330245836155,0.9934266397535029,0.9964349471991981,0.9998921412969695,1.0,0.9989450484153456,0.9816178741332502,0.9952965356013697,0.9844376921399395,0.8102190021595044,0.6149989964420963,0.9756343351254744,0.7966002725865456,0.6503447664559646,0.9855564331702101,0.8110462838787096,0.823518035019932,0.9034236716171123,0.8069317853258584,0.9466355189780273,0.9995894285506479,0.9951134093700463,0.3577917289615366,-0.6307657239084891
ABS,0.9981036012111003,0.9899896842101048,0.8314764900172531,0.9804709250865996,0.9810918959231555,0.9938764100429753,0.9967723366120553,0.9919374343897402,0.9978481708234493,0.9990767875540855,0.9989450484153456,1.0,0.987694430438841,0.996689001371216,0.9857006027406143,0.7976244703686862,0.5978827317959152,0.9786807410395625,0.7860409258619145,0.6385976553080203,0.983499632355839,0.8018276064806483,0.8157135055992843,0.8964599511168336,0.7994652191036008,0.9426128055705016,0.9990358861279994,0.995000961934385,0.38348148867428644,-0.6485870335865495
AZI,0.9848590539465206,0.9844818708109775,0.758883824204724,0.9651608936019999,0.9581777354738412,0.9803667810600297,0.9876273962073766,0.9848479191252282,0.992539852199799,0.9819739554150381,0.9816178741332502,0.987694430438841,1.0,0.9792450387651516,0.9608032507861732,0.706665479677939,0.487119915642616,0.9567897037255643,0.7548190110208062,0.6067948095655387,0.966681962642451,0.7736345823250632,0.7907511401179546,0.8733221898289325,0.7742507591683135,0.9237774786869821,0.9844321940551279,0.9893003986190098,0.42542293965108496,-0.6837248123743006
SO,0.9995171884991783,0.9949256588545295,0.8519078368618241,0.9693412113326952,0.9935260885891998,0.9848300458008982,0.9877544195575662,0.9797360864782843,0.9895696455505582,0.996412968257631,0.9952965356013697,0.996689001371216,0.9792450387651516,1.0,0.9960762034094955,0.830367734737746,0.6472864520269828,0.9919692448799663,0.775680924472578,0.6270979888235807,0.9828087406023014,0.7907908214443545,0.8039789837337232,0.8928159277983185,0.7900972075368686,0.9358653630947082,0.9954858256184655,0.9847174252447459,0.4234917836693723,-0.6204019875628263
SO_red,0.9933152236153769,0.9916101755945308,0.8721603993093426,0.9509649633010474,0.9992120060277551,0.9682442457737915,0.9707662540072967,0.9593912227048615,0.9729678619246268,0.9864954669533621,0.9844376921399395,0.9857006027406143,0.9608032507861732,0.9960762034094955,1.0,0.8643807283291615,0.7005021562525489,0.9985776433928077,0.7615778424781713,0.6132843026588074,0.975092414942316,0.7755622146923447,0.7875996757700597,0.8835129630729557,0.7763998149207891,0.9226925147734081,0.9844514481667772,0.9661149173128094,0.4559873321001371,-0.5832072305137186
Alb,0.8136733782365668,0.7961451086245931,0.9169505333384601,0.7772277468167673,0.8622374681577347,0.7830554436096864,0.7714926077659993,0.7541430878247846,0.7625841987639286,0.8136183161387475,0.8102190021595044,0.7976244703686862,0.706665479677939,0.830367734737746,0.8643807283291615,1.0,0.9316375685863487,0.8587076116527761,0.6661534090788682,0.5497901895374202,0.8071608218127937,0.6671277469890549,0.6659729615737477,0.7480869546445875,0.6633850484505268,0.7626694790054136,0.8048749489903703,0.7576369591619061,0.29193011198485497,-0.30304778746913036
Sigma,0.6235506675169952,0.6078041528633981,0.8376591831922628,0.5724041901249091,0.7051772660638269,0.5774698017826109,0.5614180558877936,0.5389132420800753,0.5499040869487248,0.6199967308079105,0.6149989964420963,0.5978827317959152,0.487119915642616,0.6472864520269828,0.7005021562525489,0.9316375685863487,1.0,0.6999673572880014,0.5072312694683192,0.4167249027906912,0.6219760197933735,0.5014394963377925,0.4937145743127411,0.5840140198196654,0.4936173930686735,0.572641790681607,0.6077077717163556,0.5441689491395445,0.26931076707350793,-0.07487141706431608
redM1,0.9891620482439962,0.9920742484301162,0.862549037610179,0.9364962703509896,0.9995394792926671,0.9564066132504083,0.9604455813400008,0.9472638813805677,0.9644354817350428,0.9783255127236044,0.9756343351254744,0.9786807410395625,0.9567897037255643,0.9919692448799663,0.9985776433928077,0.8587076116527761,0.6999673572880014,1.0,0.7443220239586021,0.5954383552153286,0.9679649737774557,0.7588287285848648,0.7714413684651186,0.8723657910534608,0.761778890417505,0.9112371751182318,0.9762838911767272,0.9557824298151395,0.4940183940482953,-0.5769699973822151
W,0.7744320718427503,0.7478860320164308,0.7399790452454847,0.8164012025676363,0.7501916664606944,0.806865093757589,0.7973940142376447,0.8015582878784951,0.7870414854704539,0.7945918330344628,0.7966002725865456,0.7860409258619145,0.7548190110208062,0.775680924472578,0.7615778424781713,0.6661534090788682,0.5072312694683192,0.7443220239586021,1.0,0.9747193068059964,0.8536436904231949,0.9989722595706942,0.9957605355007719,0.943121267555147,0.9927192372283576,0.9378817613729898,0.7947732562419467,0.7944844523319795,0.11373134792738047,-0.39821032315845706
WW,0.6256320244104767,0.5977492599444544,0.6200625880487036,0.6757021829655913,0.601431172429897,0.662866125289442,0.652117614151094,0.6579030964680505,0.6406087796288434,0.6478872798900279,0.6503447664559646,0.6385976553080203,0.6067948095655387,0.6270979888235807,0.6132843026588074,0.5497901895374202,0.4167249027906912,0.5954383552153286,0.9747193068059964,1.0,0.7220375269965277,0.9688699851231034,0.9610099379940564,0.8584324929466702,0.962700610805908,0.8407884973926074,0.648092985809033,0.6491375853154956,0.04074406464551553,-0.3033215236093583
