M1,M2,mM1,mM2,F,R,SCI,H,GA,AG,ABC,ABS,AZI,SO,SO_red,Alb,Sigma,redM1,W,WW,HR,Schultz,Gutman,Mostar,Sz,PI,EE,Energy,SpecRad,Balaban_J,logD
130.0,154.0,6.388888888888888,5.194444444444444,330.0,11.703509938206668,12.393983498854867,11.433333333333337,26.44919336715467,27.598091242993704,19.148902233439618,20.474300723770597,220.3125,93.57182579853307,56.51815512059346,18.0,22.0,46.0,1499.0,6377.0,85.25895493395494,6607.0,7268.0,299.0,2406.0,633.0,61.13565632658612,32.09178622753575,2.448794563120105,1.2320503632328186,3.54
170.0,201.0,12.673611111111109,7.3888888888888875,454.0,15.683107641481977,16.10728846471635,14.971428571428579,33.64634889510925,36.54953860547554,25.178714099452964,26.392106472204112,278.8418657407408,124.02894188747784,77.14347123389453,32.0,52.0,63.0,3144.0,13790.0,138.84327894327893,12767.0,12891.0,773.0,4616.0,1170.0,81.18893839041593,40.99503360848879,2.5367780171616316,1.7537164429449807,-1.18
110.0,131.0,6.527777777777777,4.722222222222221,280.0,10.202708600407234,10.643514081008565,9.933333333333335,22.49302292317038,23.55564778397524,16.28003499417355,17.288057446493987,191.703125,79.194350961086,47.75202879546762,14.0,18.0,39.0,867.0,2666.0,73.08650793650794,3665.0,3854.0,291.0,1324.0,463.0,52.575503346834154,27.58489528483484,2.443322775785386,1.719336646984613,3.69
152.0,182.0,9.22222222222222,6.083333333333334,398.0,13.456728795830726,14.129471135472095,12.966666666666672,30.063440907645415,32.03001467001099,22.1152287286284,23.594220600167027,249.84375,110.12067579801547,68.22635905309284,26.0,34.0,56.0,2075.0,8533.0,109.22843545343545,8896.0,9501.0,498.0,3240.0,866.0,71.01116998517426,36.109721727586965,2.477683852663522,1.3877640035909418,3.37
140.0,159.0,11.701388888888888,6.166666666666666,376.0,13.112410768570085,13.335477141589772,12.352380952380953,27.53400063780313,30.70789473645422,21.237481820789974,21.922395224057425,212.60698611111115,103.16829263640074,64.8165706066922,32.0,58.0,52.0,2131.0,8742.0,104.73059163059165,8460.0,8362.0,538.0,2525.0,772.0,67.86456315273314,33.748417445185474,2.4299948950357466,1.9921362939554994,3.1
126.0,149.0,5.618055555555555,4.944444444444444,328.0,11.22809473468105,11.916486085900273,10.985714285714288,25.432912167134166,26.629132028557372,18.441645262109603,19.7283617283299,211.58499537037036,91.03247765101968,55.31927151190226,20.0,30.0,45.0,1334.0,5517.0,80.24717227217226,5946.0,6620.0,312.0,2276.0,620.0,58.7966373353441,31.153309833905613,2.466073692477764,1.2205404763375822,3.14
176.0,203.0,12.562499999999998,7.902777777777779,458.0,16.74555058542134,17.176537587207086,16.085714285714293,35.71318511140936,38.46575599395392,26.585587533423396,27.73576244909017,290.2522407407408,128.1869921448923,78.3504791584718,32.0,52.0,63.0,3970.0,19420.0,145.5670712457477,16235.0,16539.0,867.0,5452.0,1314.0,85.5010451247922,44.380609071905695,2.4544474148908084,1.6248451764231435,-0.72
170.0,195.0,12.22222222222222,7.638888888888886,432.0,16.278096000876644,16.721222845008228,15.633333333333338,34.795491715214304,37.339415746769504,25.90998234856338,27.020364706358574,277.203125,123.5162989302177,75.05478617783903,30.0,42.0,60.0,4154.0,23309.0,134.24169464006926,17184.0,17746.0,732.0,5720.0,1242.0,82.97694379702142,42.57617600434354,2.3730149784942616,1.4109285453919345,0.34
120.0,144.0,7.6388888888888875,5.3055555555555545,308.0,11.172565055446157,11.587069001387649,10.866666666666669,24.43179919100315,25.604750493794263,17.584858756805467,18.712717537092978,212.328125,86.44113298353462,52.453660018347506,18.0,20.0,43.0,1182.0,4255.0,82.64492451992452,4903.0,5057.0,301.0,2142.0,580.0,57.28433188414405,30.242992576407204,2.4850424526488837,1.6550257183447634,3.05
82.0,99.0,3.805555555555556,3.2777777777777777,208.0,7.360173345306137,7.816274734855201,7.233333333333333,16.74480078646407,17.278424895337196,11.968444621832967,12.863313807465639,144.9375,58.73671080990659,35.215397738222066,8.0,10.0,29.0,335.0,834.0,45.21904761904762,1466.0,1597.0,118.0,515.0,219.0,38.536865725067436,19.98659138410843,2.47065398208142,1.728535187086793,2.25
154.0,180.0,8.791666666666664,5.833333333333334,422.0,13.31642969779798,14.016697436945345,12.738095238095243,29.74183907419804,32.47197790427785,22.432765593537244,23.764982524447976,237.1294814814815,112.92450469311694,71.212240447873,34.0,62.0,58.0,2472.0,12642.0,103.95544733044733,10722.0,11597.0,430.0,3985.0,900.0,71.05742737348424,35.90568007766017,2.465720103262069,1.1462894933244285,1.51
134.0,155.0,8.999999999999998,5.750000000000001,344.0,12.456728795830724,12.904726264080503,11.966666666666669,27.063440907645422,29.030014670011,20.115228728628402,21.144730857383845,215.671875,97.39275373665757,59.74107767885425,26.0,34.0,48.0,1767.0,7189.0,95.05930458430458,7370.0,7665.0,424.0,2548.0,711.0,64.37842257035584,33.07298900983399,2.3993510107695943,1.5474293035301372,2.61
34.0,35.0,2.611111111111111,1.9166666666666665,76.0,3.893846850117352,3.8944271909999157,3.8,7.825617198010981,8.195941990698568,5.76624404923356,5.7918340256022525,59.375,24.515515834827312,13.543203766865057,4.0,6.0,10.0,61.0,109.0,16.0,238.0,231.0,12.0,88.0,41.0,18.452736593913293,9.994354836679666,2.091183560577681,2.1659635854873978,-0.08
116.0,136.0,6.416666666666666,5.305555555555556,284.0,11.308861750289882,11.749086890008648,11.133333333333335,24.667405725159398,25.359705793276675,17.584858756805463,18.567291232757206,212.328125,82.9631063737206,48.35096065233353,10.0,12.0,39.0,1193.0,4220.0,81.08344155844156,4996.0,5208.0,356.0,1646.0,558.0,56.92094472294727,30.665045554033014,2.4364856553574055,1.6261404877585361,1.95
170.0,200.0,10.312499999999998,6.930555555555557,448.0,15.348173775453851,16.03565814829178,14.785714285714288,33.86797523401869,36.30319419807496,25.13093385653042,26.555471934342226,277.6428657407408,123.57482145083021,76.1209838905915,28.0,48.0,62.0,2880.0,12075.0,132.57544122544124,12222.0,12940.0,772.0,3882.0,1132.0,80.26255447973111,41.20355351926829,2.4821710143825495,1.4654248245530128,1.34
92.0,108.0,4.916666666666666,3.6388888888888884,236.0,8.220346690612276,8.683059726927224,7.966666666666669,18.489601572928134,19.55684979067439,13.572928212987001,14.463687098685991,149.53125,66.56173337438176,40.73231066660914,16.0,20.0,33.0,525.0,1608.0,52.778571428571425,2266.0,2434.0,138.0,869.0,295.0,43.206314774567204,22.228596389700048,2.4347231820540616,1.5607196309449554,3.2
140.0,163.0,8.888888888888888,6.472222222222222,348.0,13.634560252985372,14.062505136698064,13.300000000000002,29.375219656092256,30.678170134234037,21.229782462479374,22.3105180669677,247.703125,100.73235413921634,59.70287341508629,18.0,22.0,48.0,2290.0,10629.0,104.3305906511789,9474.0,9764.0,478.0,3517.0,852.0,68.66959493646138,37.01659488767326,2.4053299669597,1.4837470024576562,1.6
138.0,164.0,11.090277777777777,6.666666666666666,364.0,13.427417887329872,13.578707430095857,12.904761904761907,28.032376069199977,30.054995849576947,20.589726596436478,21.48501343276137,239.944875,100.30094724023215,61.452686832366666,26.0,36.0,50.0,2069.0,8374.0,107.14528527028526,8216.0,8125.0,534.0,2759.0,800.0,67.6454556051933,35.40057165659708,2.437454294841634,2.038203967709117,3.77
172.0,208.0,9.08333333333333,6.694444444444445,448.0,15.02920844090216,15.932146616935874,14.600000000000007,34.15700729808752,35.91655558395106,24.79382593911353,26.667017300764265,289.859375,124.06899562538672,76.3553492575848,26.0,32.0,63.0,2860.0,13459.0,126.47164820473644,12559.0,13759.0,565.0,4642.0,1081.0,79.59224320293934,41.04466373313991,2.501021201408254,1.183769919717344,3.15
192.0,227.0,10.33333333333333,7.972222222222225,488.0,17.533539738551728,18.429068282697557,17.1,39.132770421451504,40.92561884814991,28.30085027434484,30.191464535492393,327.703125,138.34211519529188,83.70726202033751,30.0,34.0,68.0,4723.0,26767.0,149.98360915829957,20616.0,22474.0,812.0,7696.0,1526.0,90.80712315013311,47.652522402996894,2.4337420417522115,1.0701122927885915,0.32
154.0,173.0,9.729166666666664,6.916666666666667,390.0,14.944290224204433,15.407804598318814,14.466666666666672,32.01562786186571,34.13692868191471,23.749820280274566,24.691351434521184,253.66261574074073,111.89645304401573,66.96950634279656,24.0,44.0,53.0,3701.0,22754.0,111.93746687608918,15612.0,16446.0,574.0,4447.0,1002.0,75.78012666859489,39.51616033964485,2.4518714256873264,1.193917076274828,2.92
156.0,180.0,8.499999999999998,6.583333333333334,390.0,14.580520035918415,15.274589590390837,14.200000000000005,32.23440235939219,33.83527468601159,23.541372834819953,24.877511163368432,260.296875,112.57052212293051,67.46242703059261,24.0,30.0,54.0,3030.0,16311.0,112.55644271878792,13108.0,14162.0,538.0,4357.0,1000.0,75.00803806498747,39.365324704840646,2.363429151493582,1.1401761189165796,1.92
162.0,188.0,9.361111111111109,6.833333333333332,410.0,15.012371688496552,15.693580646080337,14.566666666666672,33.11659909231407,34.95779703627038,24.248479616006513,25.65733109672287,268.296875,117.13796255258374,70.92799027597272,28.0,34.0,57.0,3098.0,15706.0,120.70043273719745,13228.0,14094.0,594.0,4958.0,1098.0,77.42762728637702,40.25502286550477,2.402782268152454,1.229118818651353,3.17
162.0,187.0,9.361111111111109,6.75,410.0,14.974366886035765,15.669016781390754,14.500000000000005,33.06001955740317,35.031216676710144,24.357869415747682,25.719597720664854,263.671875,117.28704808453452,71.10613586084598,28.0,36.0,57.0,3384.0,19158.0,117.78148268999664,14510.0,15530.0,524.0,5504.0,1098.0,77.41663120345409,40.54537852779447,2.3607225252179136,1.1214616002082152,2.17
90.0,101.0,5.694444444444445,4.472222222222222,214.0,9.308861750289882,9.524342018617059,9.133333333333335,19.6674057251594,20.359705793276678,14.170645194432373,14.703587927600939,162.15625,64.57833006287036,37.03725215334876,10.0,12.0,29.0,728.0,2311.0,59.31984126984126,2956.0,2988.0,240.0,1028.0,368.0,45.73714835358842,24.703963691795284,2.3204606371111507,1.873880805112235,1.2
126.0,144.0,7.527777777777777,5.583333333333333,312.0,12.131030293135234,12.591308017391087,11.800000000000002,26.355626976712568,27.71155032905364,19.298732147700676,20.22993114791954,212.296875,90.93721447014657,54.046019165593876,18.0,24.0,43.0,1810.0,8518.0,86.44083277833278,7669.0,8113.0,351.0,2738.0,684.0,61.57701012707788,32.26165878514521,2.3747512715441035,1.3347378177317777,3.93
84.0,97.0,5.805555555555555,3.916666666666667,210.0,8.219545352812842,8.432590309080922,7.966666666666667,17.53343112894384,18.51440633165593,12.825381317280574,13.398764164969023,144.921875,60.669539911173274,36.20882502860257,12.0,16.0,29.0,516.0,1508.0,51.76468253968254,2088.0,2098.0,158.0,846.0,294.0,41.401846169038556,22.01421279610249,2.377325600292276,1.9253519494576516,1.9
218.0,254.0,9.111111111111109,9.416666666666666,526.0,20.848469228349536,21.99933446178242,20.7,46.63632614803887,47.37117307087382,32.99137802864843,35.105175499203625,396.34375,155.4095909502299,89.74669827805447,18.0,18.0,72.0,8109.0,57447.0,178.57138163544477,36094.0,40151.0,1168.0,11727.0,2122.0,105.57105592418289,57.217053751113916,2.432899192570917,0.8414320769265736,2.27
164.0,200.0,8.583333333333332,6.194444444444447,432.0,14.02920844090216,14.932146616935874,13.600000000000007,32.15700729808752,33.91655558395106,23.37961237674043,25.25280373839117,273.859375,118.41214137589436,73.52692213283858,26.0,32.0,61.0,2347.0,10344.0,115.61729381729381,10426.0,11530.0,554.0,3883.0,988.0,74.97171272574748,38.30976642773643,2.5184136243264073,1.190345235449723,1.2
124.0,149.0,5.527777777777778,5.138888888888889,310.0,11.364504642955708,12.037941272008482,11.233333333333334,25.720563909828044,26.28748815953605,18.18257573825083,19.544357566163498,224.953125,88.56617956591577,52.46680543758647,12.0,12.0,43.0,1048.0,3177.0,86.05238095238096,4587.0,5005.0,303.0,1544.0,540.0,58.71897716567432,31.095543606801993,2.471248544639657,1.5862804625516311,1.14
