descriptor,raw_corr_y,partial_corr_y
Energy,0.20756742046958768,0.08520667737314999
Gutman,0.09261074874462012,-0.03556777058816905
Schultz,0.08322095455940527,0.031817673164282884
W,0.07372830395176211,-0.028037102744744895
SpecRad,0.09002256019492155,-0.026942495357542173
Balaban_J,-0.3001302678457426,-0.025502200351167247
HR,0.1659522997281945,0.02156679999618096
Sz,0.08450196468556724,-0.01242547016576679
PI,0.14289895555304127,-0.012127892175573935
Alb,0.055792962118791666,-0.009311517769882354
Mostar,0.11421972222004192,0.004232536111290907
EE,0.1936095110126094,0.0026540618136247623
M1,0.19748283500542518,0.0007440610843113821
AZI,0.2267357122200052,-0.0005117934897957304
WW,0.03206676110002683,0.0004886147829394375
Sigma,-0.02110429688993887,-0.00033947352012310644
F,0.17725759488329462,-0.00022819889430517265
SCI,0.20229297691731307,0.0
mM1,0.03298200842693042,0.0
mM2,0.17582086983048015,0.0
R,0.1916737815244684,0.0
ABC,0.192382929824044,0.0
H,0.20210689590921613,0.0
ABS,0.2010830560532341,0.0
AG,0.191727429443659,0.0
redM1,0.17710755535381723,0.0
M2,0.20236183534301305,0.0
SO_red,0.1765942525318399,0.0
SO,0.1910324753859678,0.0
GA,0.21001201782704348,0.0
