component,var_explained,cumulative
1,0.8386566838452781,0.8386566838452781
2,0.06917605885944267,0.9078327427047208
3,0.0486032871967475,0.9564360299014683
4,0.02527553040465495,0.9817115603061232
5,0.012783901182304498,0.9944954614884277
6,0.0022886799561838644,0.9967841414446116
7,0.0009741468936234047,0.997758288338235
8,0.0008756461669608092,0.9986339345051958
9,0.000738681808253204,0.999372616313449
10,0.0002980142028575537,0.9996706305163066
11,0.00013791443710060622,0.9998085449534072
12,0.0001103443403513776,0.9999188892937586
13,3.225413514548516e-05,0.9999511434289041
14,1.7675542081485557e-05,0.9999688189709856
15,1.2928958914209534e-05,0.9999817479298998
16,7.590142762296397e-06,0.9999893380726621
17,6.13987813961181e-06,0.9999954779508017
18,3.3458822493953678e-06,0.999998823833051
19,1.1557314208380115e-06,0.9999999795644718
20,1.4792426435454426e-08,0.9999999943568982
21,5.643101297563561e-09,0.9999999999999996
22,1.9704816877681757e-16,0.9999999999999998
23,7.770907409313261e-17,0.9999999999999999
24,3.348578886121928e-17,0.9999999999999999
25,2.3414496043840292e-17,0.9999999999999999
26,0.0,0.9999999999999999
27,0.0,0.9999999999999999
28,0.0,0.9999999999999999
29,0.0,0.9999999999999999
30,0.0,0.9999999999999999
