a,b,r
AG,ABC,0.9998921412969695
AG,EE,0.9996859277938991
ABC,EE,0.9995894285506479
F,redM1,0.9995394792926671
M1,SO,0.9995171884991783
SCI,Energy,0.9993640583976384
F,SO_red,0.9992120060277551
AG,ABS,0.9990767875540855
SCI,GA,0.9990399056854455
ABS,EE,0.9990358861279994
W,Schultz,0.9989722595706942
H,Energy,0.9989572199275244
ABC,ABS,0.9989450484153456
SCI,H,0.9989051682207201
Schultz,Gutman,0.9989048308358943
R,SCI,0.9988040826927143
R,H,0.9987470422747193
GA,Energy,0.9986518393400826
SO_red,redM1,0.9985776433928077
M1,ABS,0.9981036012111003
GA,ABS,0.9978481708234493
R,Energy,0.9977997722229833
SCI,EE,0.9975418076944048
SCI,ABC,0.997330245836155
GA,EE,0.9969709576103566
M1,AG,0.9968558713848372
SCI,ABS,0.9967723366120553
H,GA,0.9967523826919514
ABS,SO,0.996689001371216
SCI,AG,0.9966705762752991
R,EE,0.9965701727405327
R,ABC,0.9965678392027957
GA,ABC,0.9964349471991981
AG,SO,0.996412968257631
M1,EE,0.9963896379511851
SO,SO_red,0.9960762034094955
GA,AG,0.9960107272560947
M1,M2,0.9959855556967393
M1,ABC,0.9959074073066284
R,AG,0.9958050383744376
R,GA,0.9957738166192922
W,Gutman,0.9957605355007719
mM2,R,0.9956973157061938
EE,Energy,0.9956705500293187
SO,EE,0.9954858256184655
ABC,SO,0.9952965356013697
ABC,Energy,0.9951134093700463
ABS,Energy,0.995000961934385
M2,SO,0.9949256588545295
AG,Energy,0.9943951141330488
Schultz,Sz,0.9941057067442222
R,ABS,0.9938764100429753
H,EE,0.9937806454272916
mM2,H,0.9936291442564991
F,SO,0.9935260885891998
H,ABC,0.9934266397535029
Gutman,Sz,0.9934105451692467
M1,SO_red,0.9933152236153769
M1,GA,0.9927607838708813
W,Sz,0.9927192372283576
GA,AZI,0.992539852199799
H,AG,0.9923487739993293
M2,redM1,0.9920742484301162
SO,redM1,0.9919692448799663
H,ABS,0.9919374343897402
M2,F,0.991641983486077
M2,SO_red,0.9916101755945308
M1,F,0.9906159632057969
mM2,SCI,0.9905256630471363
M1,SCI,0.99035607426601
M2,ABS,0.9899896842101048
mM2,Energy,0.9898264578651155
GA,SO,0.9895696455505582
AZI,Energy,0.9893003986190098
M1,redM1,0.9891620482439962
M1,Energy,0.9879672512061448
SCI,SO,0.9877544195575662
ABS,AZI,0.987694430438841
SCI,AZI,0.9876273962073766
mM2,EE,0.9867583718218917
M1,R,0.9865979770401314
AG,SO_red,0.9864954669533621
HR,EE,0.986316357142004
mM2,ABC,0.9863069865104186
M2,AG,0.9862188669418771
AG,HR,0.9861873232946569
M2,EE,0.9861193247333598
ABS,SO_red,0.9857006027406143
ABC,HR,0.9855564331702101
mM2,AG,0.9853457009685723
M1,AZI,0.9848590539465206
H,AZI,0.9848479191252282
R,SO,0.9848300458008982
SO,Energy,0.9847174252447459
M2,AZI,0.9844818708109775
SO_red,EE,0.9844514481667772
ABC,SO_red,0.9844376921399395
AZI,EE,0.9844321940551279
M2,ABC,0.9843241980213043
mM2,GA,0.9840568889676493
ABS,HR,0.983499632355839
M2,GA,0.983373860483629
R,HR,0.9831129742412359
M1,H,0.983007055499466
SO,HR,0.9828087406023014
M1,HR,0.9825530652698714
AG,AZI,0.9819739554150381
ABC,AZI,0.9816178741332502
SCI,HR,0.9815788013671106
Mostar,PI,0.9814185531830913
F,AG,0.9813179706948865
F,ABS,0.9810918959231555
mM2,ABS,0.9804709250865996
R,AZI,0.9803667810600297
H,SO,0.9797360864782843
GA,HR,0.9795354620257872
AZI,SO,0.9792450387651516
F,EE,0.9792324298698569
HR,Energy,0.9791211336568391
F,ABC,0.9788142309678404
ABS,redM1,0.9786807410395625
AG,redM1,0.9783255127236044
mM2,HR,0.9779998247131201
H,HR,0.9778201902253307
M2,SCI,0.9776660862805202
redM1,EE,0.9762838911767272
HR,PI,0.9762422257928806
M2,Energy,0.9757122728985826
ABC,redM1,0.9756343351254744
SO_red,HR,0.975092414942316
W,WW,0.9747193068059964
M2,HR,0.9733356089491715
GA,SO_red,0.9729678619246268
M2,R,0.9709100317810507
SCI,SO_red,0.9707662540072967
M1,mM2,0.9706972030454223
F,HR,0.9701362459478722
mM2,SO,0.9693412113326952
WW,Schultz,0.9688699851231034
R,SO_red,0.9682442457737915
redM1,HR,0.9679649737774557
M2,H,0.9678287241990748
F,GA,0.9673893260178302
AZI,HR,0.966681962642451
SO_red,Energy,0.9661149173128094
mM2,AZI,0.9651608936019999
GA,redM1,0.9644354817350428
F,SCI,0.9641636640678489
WW,Sz,0.962700610805908
WW,Gutman,0.9610099379940564
AZI,SO_red,0.9608032507861732
F,R,0.9607392845800626
SCI,redM1,0.9604455813400008
F,Energy,0.9596165611333887
H,SO_red,0.9593912227048615
F,AZI,0.9581777354738412
AZI,redM1,0.9567897037255643
R,redM1,0.9564066132504083
redM1,Energy,0.9557824298151395
HR,Mostar,0.9552605736625284
Gutman,PI,0.9533430279828965
F,H,0.9517235057271795
mM2,SO_red,0.9509649633010474
M2,mM2,0.9505868804046083
R,PI,0.949208669933732
H,redM1,0.9472638813805677
Sz,PI,0.9468996375287347
mM2,PI,0.9468747815264822
Schultz,PI,0.9466693886763439
ABC,PI,0.9466355189780273
Gutman,Mostar,0.9465638502729087
SCI,PI,0.9464097411544504
PI,EE,0.9461446183850376
Schultz,Mostar,0.9459705623394487
AG,PI,0.9459397138140399
H,PI,0.945858030414705
PI,Energy,0.9446664277738421
W,Mostar,0.943121267555147
ABS,PI,0.9426128055705016
GA,PI,0.9423353342499158
mM2,F,0.9417699381228876
Mostar,Sz,0.9399446844591598
W,PI,0.9378817613729898
mM2,redM1,0.9364962703509896
M1,PI,0.9363911317147386
SO,PI,0.9358653630947082
Alb,Sigma,0.9316375685863487
AZI,PI,0.9237774786869821
SO_red,PI,0.9226925147734081
M2,PI,0.9206495709300421
mM1,Alb,0.9169505333384601
F,PI,0.9150778660111415
mM2,Mostar,0.9131188167464752
redM1,PI,0.9112371751182318
R,Mostar,0.9079653695557933
Mostar,EE,0.9038445601647624
ABC,Mostar,0.9034236716171123
AG,Mostar,0.9032399394267075
H,Mostar,0.9013819608910297
SCI,Mostar,0.9010713098449462
