descriptor,R2_vs_rest,VIF
M1,1.0,inf
ABC,1.0,inf
Schultz,0.9999993367800964,inf
redM1,1.0,inf
Sigma,1.0,inf
M2,1.0,inf
SO_red,1.0,inf
SO,1.0,inf
AZI,1.0,inf
ABS,1.0,inf
Alb,1.0,inf
AG,1.0,inf
H,1.0,inf
SCI,1.0,inf
R,1.0,inf
F,1.0,inf
mM2,1.0,inf
GA,1.0,inf
mM1,1.0,inf
W,0.9999974620029415,394011.48895921867
Gutman,0.9999972005957872,357218.8665850938
EE,0.999789741099311,4756.041226901156
PI,0.9996160584935446,2604.563411838946
Energy,0.9994064837121869,1684.873727197297
HR,0.9991997052700661,1249.539654075396
WW,0.9987859273782381,823.673956627726
Sz,0.998618402049919,723.79956842104
Mostar,0.9975277047357497,404.4824315526244
Balaban_J,0.9195888053531415,12.436079384116793
SpecRad,0.8575399640903815,7.019512480218901
