alpha,beta,gamma,max_abs_r_baseline,most_correlated_baseline,raw_corr_target,partial_corr_target,kill_test
-1.0,-1.0,0.0,0.9927428190695735,mM2,0.16888045636927645,0.0,FAIL
-1.0,-1.0,0.5,0.9895586270353484,mM2,0.1476086921866076,0.0,FAIL
-1.0,-1.0,1.0,0.9766326361187906,mM2,0.12383557442542119,0.0,FAIL
-1.0,-1.0,2.0,0.9770450996463452,mM1,0.07289637708013039,0.0,FAIL
-1.0,-0.5,0.0,0.9983572639823828,mM2,0.17278281027314468,0.0,FAIL
-1.0,-0.5,0.5,0.9948444024136651,mM2,0.15186157529665997,0.0,FAIL
-1.0,-0.5,1.0,0.981634763644002,mM2,0.12831530098515997,0.0,FAIL
-1.0,-0.5,2.0,0.9840122166306372,mM1,0.07727590940328581,0.0,FAIL
-1.0,0.0,0.0,1.0,mM2,0.17582086983048015,0.0,FAIL
-1.0,0.0,0.5,0.9956128492344155,mM2,0.15534468090811948,0.0,FAIL
-1.0,0.0,1.0,0.9817750683189962,mM2,0.13218641497419628,0.0,FAIL
-1.0,0.0,2.0,0.9856820087438806,mM1,0.0814933648113331,0.0,FAIL
-1.0,0.5,0.0,0.998631467658283,mM2,0.17806043767593932,0.0,FAIL
-1.0,0.5,0.5,0.9930141221123914,mM2,0.15810688936309122,0.0,FAIL
-1.0,0.5,1.0,0.9783006377824601,mM2,0.13546118449249533,0.0,FAIL
-1.0,0.5,2.0,0.9833464633991493,mM1,0.0854669581866335,0.0,FAIL
-1.0,1.0,0.0,0.9983975669913939,R,0.17953565075366093,0.0,FAIL
-1.0,1.0,0.5,0.9919113419224462,AG,0.16017253958276084,0.0,FAIL
-1.0,1.0,1.0,0.9786114047553239,AG,0.13813682573369646,0.0,FAIL
-1.0,1.0,2.0,0.978076912419335,mM1,0.0891160677379381,0.0,FAIL
-0.5,-1.0,0.0,0.9982991914866981,mM2,0.18833613469970537,0.0,FAIL
-0.5,-1.0,0.5,0.999313840985387,mM2,0.17017760116120378,0.0,FAIL
-0.5,-1.0,1.0,0.992088290224091,mM2,0.14907553585703892,0.0,FAIL
-0.5,-1.0,2.0,0.9712895206750957,mM1,0.10064155428818618,0.0,FAIL
-0.5,-0.5,0.0,0.9988265041916407,R,0.1904165268450512,0.0,FAIL
-0.5,-0.5,0.5,0.9978625157032533,mM2,0.17278109270940817,0.0,FAIL
-0.5,-0.5,1.0,0.9897691420250859,mM2,0.15223701438064832,0.0,FAIL
-0.5,-0.5,2.0,0.9704513666791424,mM1,0.1046999583071977,0.0,FAIL
-0.5,0.0,0.0,1.0,R,0.19167378152446843,0.0,FAIL
-0.5,0.0,0.5,0.9967047697981439,R,0.1746081939594011,0.0,FAIL
-0.5,0.0,1.0,0.9888154889193117,AG,0.15469613809297264,0.0,FAIL
-0.5,0.0,2.0,0.9667289402704184,mM1,0.10830226907902356,0.0,FAIL
-0.5,0.5,0.0,0.9993264865945014,ABC,0.19211597583298687,0.0,FAIL
-0.5,0.5,0.5,0.9975875575004124,AG,0.1756686832787722,0.0,FAIL
-0.5,0.5,1.0,0.9893934886253873,AG,0.15644980682815202,0.0,FAIL
-0.5,0.5,2.0,0.9653884678301885,SO_red,0.11138748680880843,0.0,FAIL
-0.5,1.0,0.0,1.0,AG,0.191727429443659,0.0,FAIL
-0.5,1.0,0.5,0.9971756032424055,AG,0.17594802384040767,0.0,FAIL
-0.5,1.0,1.0,0.9907821435067563,SO_red,0.1574749463817489,0.0,FAIL
-0.5,1.0,2.0,0.9675241247460233,SO_red,0.11389213884597482,0.0,FAIL
0.0,-1.0,0.0,1.0,H,0.20210689590921613,0.0,FAIL
0.0,-1.0,0.5,0.9994847064357855,R,0.18724220472917852,0.0,FAIL
0.0,-1.0,1.0,0.9940919243186059,ABC,0.1695346203067824,0.0,FAIL
0.0,-1.0,2.0,0.9707065122977547,SO_red,0.12659884309678288,0.0,FAIL
0.0,-0.5,0.0,1.0,SCI,0.20229297691731313,0.0,FAIL
0.0,-0.5,0.5,0.9991175746889274,ABC,0.18799521474740782,0.0,FAIL
0.0,-0.5,1.0,0.9956371922044844,AG,0.17095885841392383,0.0,FAIL
0.0,-0.5,2.0,0.9764478717137424,SO_red,0.12944599336557236,0.0,FAIL
0.0,0.0,0.0,0.9994093097231932,ABS,0.201604643438568,0.0,FAIL
0.0,0.0,0.5,0.999590708051314,AG,0.18791741145056767,0.0,FAIL
0.0,0.0,1.0,0.9951018205645298,AG,0.17159383457510513,0.0,FAIL
0.0,0.0,2.0,0.9798510582808365,SO_red,0.13161978204850844,0.0,FAIL
0.0,0.5,0.0,0.9998737689752853,ABS,0.200012648959735,0.0,FAIL
0.0,0.5,0.5,0.9988950511187648,SO,0.18698136915553934,0.0,FAIL
0.0,0.5,1.0,0.9954076097786256,SO_red,0.1714089297729975,0.0,FAIL
0.0,0.5,2.0,0.9812622405225139,SO_red,0.133066151906682,0.0,FAIL
0.0,1.0,0.0,1.0,M1,0.19748283500542518,0.0,FAIL
0.0,1.0,0.5,0.9993601330813764,SO,0.1851502128923021,0.0,FAIL
0.0,1.0,1.0,0.9977218567376159,SO_red,0.17036332382114883,0.0,FAIL
0.0,1.0,2.0,0.9808699811806764,SO_red,0.13372919522487997,-0.0014111238003430625,FAIL
0.5,-1.0,0.0,1.0,GA,0.21001201782704348,0.0,FAIL
0.5,-1.0,0.5,0.9993792456036757,EE,0.19822742568938484,0.0,FAIL
0.5,-1.0,1.0,0.9984027813391594,AG,0.18395952545761143,0.0,FAIL
0.5,-1.0,2.0,0.9866114181012421,SO_red,0.1479402768844377,0.0,FAIL
0.5,-0.5,0.0,0.9993403791720662,ABS,0.2081145288947564,0.0,FAIL
0.5,-0.5,0.5,0.9994210114331494,ABS,0.19692039688418916,0.0,FAIL
0.5,-0.5,1.0,0.997894076909404,SO,0.18334786004984477,0.0,FAIL
0.5,-0.5,2.0,0.9891724364459028,SO_red,0.1489339711745331,0.0,FAIL
0.5,0.0,0.0,0.9992311415038589,M1,0.20524384509765864,0.0,FAIL
0.5,0.0,0.5,0.9996491777303727,SO,0.1946829872171751,0.0,FAIL
0.5,0.0,1.0,0.9981448417487622,SO,0.18183660648548158,0.0,FAIL
0.5,0.0,2.0,0.9899183047665384,SO_red,0.14908198942878803,0.0,FAIL
0.5,0.5,0.0,0.9990048416139874,M1,0.20137139224006081,0.0,FAIL
0.5,0.5,0.5,0.9990887279271308,SO,0.19147884561169645,0.0,FAIL
0.5,0.5,1.0,0.999142004813663,SO_red,0.1793838159690729,0.0,FAIL
0.5,0.5,2.0,0.9888757043122,SO_red,0.148333039947659,0.0,FAIL
0.5,1.0,0.0,0.9995008412511823,M2,0.19647928576982662,-0.0014800925760339834,FAIL
0.5,1.0,0.5,0.9987188825416501,F,0.18727745291722905,0.0001604654715624366,FAIL
0.5,1.0,1.0,0.9990830990542526,F,0.1759506932561545,-0.007474910162656715,FAIL
0.5,1.0,2.0,0.98677815424035,F,0.14663999496178928,-0.008611097384620492,FAIL
1.0,-1.0,0.0,0.9976423449362213,ABS,0.21180921960044277,0.0,FAIL
1.0,-1.0,0.5,0.9994336447141882,M1,0.20281042442104824,0.0,FAIL
1.0,-1.0,1.0,0.9990665142828786,SO,0.19172805338026294,0.0,FAIL
1.0,-1.0,2.0,0.9943703469649795,SO_red,0.16281100078658184,0.0,FAIL
1.0,-0.5,0.0,0.9986274400700061,M2,0.20760767740077457,0.0,FAIL
1.0,-0.5,0.5,0.9990749571186934,M1,0.19921526491336528,0.0,FAIL
1.0,-0.5,1.0,0.9983612216086274,SO,0.18881955107333934,0.0,FAIL
1.0,-0.5,2.0,0.9944475533026299,SO_red,0.16150321498039366,0.0,FAIL
1.0,0.0,0.0,1.0,M2,0.20236183534301305,0.00011937246898755338,FAIL
1.0,0.0,0.5,0.998619924509967,M2,0.19459804186627622,0.0019114811481893501,FAIL
1.0,0.0,1.0,0.9985535881749633,F,0.18490372689808954,-0.007095957766844796,FAIL
1.0,0.0,2.0,0.9929375760701183,F,0.15920783608347366,0.0,FAIL
1.0,0.5,0.0,0.9985429082147891,M2,0.19607482179067198,-0.00013914246755660853,FAIL
1.0,0.5,0.5,0.9980021856509498,redM1,0.1889436154551966,0.0007780562857348559,FAIL
1.0,0.5,1.0,0.9986706592563964,F,0.17995302084586437,-9.408379483242065e-05,FAIL
1.0,0.5,2.0,0.9907163858881783,F,0.1558865354172243,0.009327641815628262,FAIL
1.0,1.0,0.0,0.9944846383738728,redM1,0.18877049695927642,8.281143382687791e-05,FAIL
1.0,1.0,0.5,0.9969641998970259,redM1,0.18225563700425415,-0.0008724420382845027,FAIL
1.0,1.0,1.0,0.9966495441564234,redM1,0.17395698922496478,-0.0030307839127405615,FAIL
1.0,1.0,2.0,0.9862148465116696,F,0.15151626434485002,0.001969060373183203,FAIL
