,M1,M2,HM,mM2,R,chi,H/2,ISI,GA,AG,"LO(0,0,1)","LO(0,0,2)"
M1,+1.0000,+0.9508,+0.9954,-0.9071,-0.9723,-0.9850,-0.9722,+0.6157,-0.9790,+0.9768,+0.9736,+0.9804
M2,+0.9508,+1.0000,+0.9694,-0.7563,-0.8689,-0.8972,-0.8715,+0.8259,-0.8733,+0.8667,+0.8913,+0.8884
HM,+0.9954,+0.9694,+1.0000,-0.8666,-0.9466,-0.9645,-0.9461,+0.6636,-0.9562,+0.9547,+0.9529,+0.9589
mM2,-0.9071,-0.7563,-0.8666,+1.0000,+0.9792,+0.9635,+0.9773,-0.3018,+0.9709,-0.9728,-0.9253,-0.9470
R,-0.9723,-0.8689,-0.9466,+0.9792,+1.0000,+0.9978,+0.9997,-0.4690,+0.9975,-0.9960,-0.9747,-0.9879
chi,-0.9850,-0.8972,-0.9645,+0.9635,+0.9978,+1.0000,+0.9980,-0.5170,+0.9976,-0.9950,-0.9828,-0.9930
H/2,-0.9722,-0.8715,-0.9461,+0.9773,+0.9997,+0.9980,+1.0000,-0.4782,+0.9968,-0.9942,-0.9778,-0.9895
ISI,+0.6157,+0.8259,+0.6636,-0.3018,-0.4690,-0.5170,-0.4782,+1.0000,-0.4641,+0.4470,+0.5325,+0.5079
GA,-0.9790,-0.8733,-0.9562,+0.9709,+0.9975,+0.9976,+0.9968,-0.4641,+1.0000,-0.9989,-0.9807,-0.9927
AG,+0.9768,+0.8667,+0.9547,-0.9728,-0.9960,-0.9950,-0.9942,+0.4470,-0.9989,+1.0000,+0.9718,+0.9870
"LO(0,0,1)",+0.9736,+0.8913,+0.9529,-0.9253,-0.9747,-0.9828,-0.9778,+0.5325,-0.9807,+0.9718,+1.0000,+0.9971
"LO(0,0,2)",+0.9804,+0.8884,+0.9589,-0.9470,-0.9879,-0.9930,-0.9895,+0.5079,-0.9927,+0.9870,+0.9971,+1.0000
