name,smiles,M1,M2,HM,mM2,R,chi,H/2,ISI,GA,AG,"LO(0,0,1)","LO(0,0,2)",T_B,dHf,dHvap,S,omega
n-octane,CCCCCCCC,26.000000,24.000000,98.000000,2.250000,3.914214,3.654701,1.916667,6.333333,6.885618,7.121320,7.791225,8.895468,125.6,-49.82,9.92,111.55,0.398
2-methylheptane,CC(C)CCCCC,28.000000,26.000000,114.000000,2.083333,3.770056,3.524564,1.783333,6.366667,6.654656,7.390682,8.914458,11.876122,117.6,-51.5,9.48,109.84,0.378
3-methylheptane,CCC(C)CCCC,28.000000,27.000000,116.000000,2.166667,3.808060,3.549128,1.816667,6.483333,6.711235,7.317262,8.882752,11.597399,118.9,-50.82,9.52,111.26,0.371
4-methylheptane,CCCC(C)CCC,28.000000,27.000000,116.000000,2.166667,3.808060,3.549128,1.816667,6.483333,6.711235,7.317262,8.882752,11.597399,117.7,-50.69,9.48,109.32,0.372
"2,2-dimethylhexane",CC(C)(C)CCCC,32.000000,30.000000,152.000000,1.875000,3.560660,3.327239,1.600000,6.400000,6.285618,7.871320,10.257581,15.855819,106.8,-53.71,8.92,103.13,0.339
"2,3-dimethylhexane",CC(C)C(C)CCC,30.000000,30.000000,134.000000,2.027778,3.680739,3.432812,1.700000,6.616667,6.520681,7.545383,9.563179,13.594404,115.6,-51.13,9.27,108.02,0.348
"2,4-dimethylhexane",CC(C)CC(C)CC,30.000000,29.000000,132.000000,2.000000,3.663902,3.418991,1.683333,6.516667,6.480273,7.586624,10.005985,14.578054,109.4,-52.44,9.03,106.98,0.344
"2,5-dimethylhexane",CC(C)CCC(C)C,30.000000,28.000000,130.000000,1.916667,3.625898,3.394427,1.650000,6.400000,6.423693,7.660044,10.037691,14.856777,109.1,-53.21,9.05,105.72,0.357
"3,3-dimethylhexane",CCCC(C)(C)CC,32.000000,32.000000,156.000000,2.000000,3.621320,3.365624,1.650000,6.600000,6.371236,7.742641,10.226687,15.431170,111.9,-52.61,9.04,104.74,0.322
"3,4-dimethylhexane",CCC(C)C(C)CC,30.000000,31.000000,136.000000,2.111111,3.718744,3.457376,1.733333,6.733333,6.577261,7.471963,9.531473,13.315681,117.7,-50.91,9.32,106.59,0.34
2-methyl-3-ethylpentane,CCC(CC)C(C)C,30.000000,31.000000,136.000000,2.111111,3.718744,3.457376,1.733333,6.733333,6.577261,7.471963,9.531473,13.315681,115.6,-50.48,9.21,106.06,0.33
3-methyl-3-ethylpentane,CCC(C)(CC)CC,32.000000,34.000000,160.000000,2.125000,3.681981,3.404009,1.700000,6.800000,6.456854,7.613961,10.195793,15.006521,118.3,-51.38,9.21,101.48,0.302
3-ethylhexane,CCCCC(CC)C,28.000000,27.000000,116.000000,2.166667,3.808060,3.549128,1.816667,6.483333,6.711235,7.317262,8.882752,11.597399,118.5,-50.4,9.48,109.43,0.362
"2,2,3-trimethylpentane",CCC(C)C(C)(C)C,34.000000,35.000000,174.000000,1.833333,3.481380,3.244169,1.526190,6.730952,6.178374,7.996344,10.885658,17.448904,109.8,-52.61,8.88,101.31,0.3
"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,34.000000,32.000000,168.000000,1.708333,3.416502,3.197103,1.466667,6.433333,6.054656,8.140682,11.380814,18.836473,99.2,-53.57,8.4,101.81,0.305
"2,3,3-trimethylpentane",CCC(C)(C)C(C)C,34.000000,36.000000,176.000000,1.875000,3.504036,3.257990,1.542857,6.814286,6.207412,7.941084,10.886470,17.302978,114.8,-51.73,9.02,101.31,0.291
"2,3,4-trimethylpentane",CC(C)C(C)C(C)C,32.000000,33.000000,152.000000,1.888889,3.553418,3.316497,1.583333,6.750000,6.330127,7.773503,10.243606,15.591409,113.5,-51.97,9.01,102.39,0.317
"2,2,3,3-tetramethylbutane",CC(C)(C)C(C)(C)C,38.000000,40.000000,214.000000,1.562500,3.250000,3.036835,1.325000,6.800000,5.800000,8.500000,11.932713,20.920702,106.5,-53.99,8.41,93.06,0.247
