candidate,family,max_abs_r_baseline,most_correlated_baseline,raw_corr_logS,partial_corr_logS,kill_test
InfoH_deg,info-theoretic,0.6992489360086172,Alb,-0.14020518857457592,0.154075629915857,PASS
CutVerts,motif,0.8328600854933249,mM1,-0.3847109031925455,-0.1177845801282363,PASS
Bonchev_Id,info-theoretic,0.9915880150984047,Schultz,-0.28772133264785904,-0.11305312201413087,FAIL
FourCyc,motif,0.18886393419271078,Sigma,-0.049876683111406736,0.11217913972405358,PASS
MeanEcc,eccentricity,0.9295761861581002,mM2,-0.5592687329938613,-0.10900772406341609,PASS
Rho_x_Dia,spectral-hybrid,0.962777836225198,mM2,-0.57120272872731,-0.07684907795994768,FAIL
Btw_sum,centrality,0.9182831458742449,mM2,-0.5399320856720113,-0.07298032771648191,PASS
TotEcc,eccentricity,0.9573179759565956,PI,-0.4873918335770021,-0.07252639096118702,FAIL
Triangles,motif,0.1580414535846055,F,-0.12291047623595798,-0.07046241341679343,PASS
Radius,eccentricity,0.9143122625624773,mM2,-0.5652189861626281,-0.0701262323394622,PASS
EE_x_W,spectral-hybrid,0.9799793913446474,R,-0.6152584871627822,-0.05554620884882011,FAIL
InfoH_dist,info-theoretic,0.8868878631117797,mM2,-0.5635405304486396,-0.04902022381690082,PASS
InfoH_ecc,info-theoretic,0.8407250994749211,mM2,-0.5153594140750217,-0.038994493589374124,PASS
MeanClust,motif,0.0518528931621622,Balaban_J,0.010703569333123318,0.03868313317099217,PASS
AlgConn,spectral-hybrid,0.6730105590177053,mM2,0.4522391581100142,0.03689374432657406,PASS
Btw_var,centrality,0.6534228293341262,SpecRad,0.34892238002696246,0.025856003957160735,PASS
InfoH_spec,info-theoretic,0.9433528557091595,H,-0.6136365607547131,-0.008812746650572831,PASS
Cls_sum,centrality,0.9383581069909954,SpecRad,-0.5285226257176102,-0.0015244670641003917,PASS
Eig_sum,centrality,0.9174066796292628,ABC,-0.6071466438571388,0.0011721072692601239,PASS
Harm_cent,centrality,1.0,HR,-0.5461245481981264,0.0,FAIL
