dataset,candidate,family,max_abs_r_baseline,most_correlated_baseline,raw_corr_target,partial_corr_target,pairwise_verdict,combined_verdict,n_compute_fail,compute_sec
bbbp,InfoH_deg,info-theoretic,0.6756,Sigma,-0.195,0.0055,PASS,FAIL,0,0.01
bbbp,InfoH_dist,info-theoretic,0.8124,H,-0.2688,-0.0161,PASS,FAIL,0,0.19
bbbp,InfoH_spec,info-theoretic,0.9065,AZI,-0.2421,0.0144,PASS,FAIL,0,0.18
bbbp,InfoH_ecc,info-theoretic,0.7756,H,-0.2516,-0.0327,PASS,FAIL,0,0.32
bbbp,Bonchev_Id,info-theoretic,0.9966,W,-0.2403,0.0381,FAIL,FAIL,0,0.19
bbbp,Btw_sum,centrality,0.8887,mM2,-0.3054,0.0105,PASS,FAIL,0,1.03
bbbp,Cls_sum,centrality,0.8384,redM1,-0.1778,0.0039,PASS,FAIL,0,0.29
bbbp,Eig_sum,centrality,0.8444,M1,-0.2029,0.0167,PASS,FAIL,0,1.38
bbbp,Harm_cent,centrality,1.0,HR,-0.3139,0.0,FAIL,FAIL,0,0.38
bbbp,Btw_var,centrality,0.7115,SpecRad,0.0747,0.0332,PASS,FAIL,0,0.97
bbbp,AlgConn,spectral-hybrid,0.5345,SpecRad,0.1436,0.0058,PASS,FAIL,0,0.29
bbbp,Rho_x_Dia,spectral-hybrid,0.8976,H,-0.2902,-0.0058,PASS,FAIL,0,0.49
bbbp,EE_x_W,spectral-hybrid,0.959,GA,-0.2984,0.0125,FAIL,FAIL,0,0.33
bbbp,Triangles,motif,0.1188,SpecRad,0.0265,0.225,PASS,PASS,0,0.04
bbbp,MeanClust,motif,0.0615,mM1,0.0315,0.0777,PASS,FAIL,0,0.1
bbbp,FourCyc,motif,0.2239,SpecRad,-0.3894,-0.22,PASS,PASS,0,0.17
bbbp,CutVerts,motif,0.899,mM1,-0.3928,0.0015,PASS,FAIL,0,0.05
bbbp,TotEcc,eccentricity,0.9476,mM2,-0.3119,0.0349,PASS,FAIL,0,0.31
bbbp,Radius,eccentricity,0.8815,H,-0.2941,-0.0117,PASS,FAIL,0,0.3
bbbp,MeanEcc,eccentricity,0.8764,H,-0.2879,0.0007,PASS,FAIL,0,0.32
