dataset,candidate,family,max_abs_r_baseline,most_correlated_baseline,raw_corr_target,partial_corr_target,pairwise_verdict,combined_verdict,n_compute_fail,compute_sec
esol,InfoH_deg,info-theoretic,0.6992,Alb,-0.1402,0.1541,PASS,PASS,0,0.0
esol,InfoH_dist,info-theoretic,0.8869,mM2,-0.5635,-0.049,PASS,FAIL,0,0.06
esol,InfoH_spec,info-theoretic,0.9434,H,-0.6136,-0.0088,PASS,FAIL,0,0.07
esol,InfoH_ecc,info-theoretic,0.8407,mM2,-0.5154,-0.039,PASS,FAIL,0,0.06
esol,Bonchev_Id,info-theoretic,0.9916,Schultz,-0.2877,-0.1131,FAIL,FAIL,0,0.06
esol,Btw_sum,centrality,0.9183,mM2,-0.5399,-0.073,PASS,FAIL,0,0.18
esol,Cls_sum,centrality,0.9384,SpecRad,-0.5285,-0.0015,PASS,FAIL,0,0.06
esol,Eig_sum,centrality,0.9174,ABC,-0.6071,0.0012,PASS,FAIL,0,0.39
esol,Harm_cent,centrality,1.0,HR,-0.5461,0.0,FAIL,FAIL,0,0.08
esol,Btw_var,centrality,0.6534,SpecRad,0.3489,0.0259,PASS,FAIL,0,0.19
esol,AlgConn,spectral-hybrid,0.673,mM2,0.4522,0.0369,PASS,FAIL,0,0.14
esol,Rho_x_Dia,spectral-hybrid,0.9628,mM2,-0.5712,-0.0768,FAIL,FAIL,0,0.13
esol,EE_x_W,spectral-hybrid,0.98,R,-0.6153,-0.0555,FAIL,FAIL,0,0.12
esol,Triangles,motif,0.158,F,-0.1229,-0.0705,PASS,FAIL,0,0.01
esol,MeanClust,motif,0.0519,Balaban_J,0.0107,0.0387,PASS,FAIL,0,0.03
esol,FourCyc,motif,0.1889,Sigma,-0.0499,0.1122,PASS,PASS,0,0.07
esol,CutVerts,motif,0.8329,mM1,-0.3847,-0.1178,PASS,PASS,0,0.01
esol,TotEcc,eccentricity,0.9573,PI,-0.4874,-0.0725,FAIL,FAIL,0,0.06
esol,Radius,eccentricity,0.9143,mM2,-0.5652,-0.0701,PASS,FAIL,0,0.06
esol,MeanEcc,eccentricity,0.9296,mM2,-0.5593,-0.109,PASS,PASS,0,0.07
freesolv,InfoH_deg,info-theoretic,0.6492,Alb,-0.3169,-0.0614,PASS,FAIL,0,0.0
freesolv,InfoH_dist,info-theoretic,0.8392,mM2,-0.2483,0.0863,PASS,FAIL,0,0.02
freesolv,InfoH_spec,info-theoretic,0.9492,H,-0.3576,0.0797,PASS,FAIL,0,0.04
