index,family,r_T_B,lo_T_B,hi_T_B,r_dHf,lo_dHf,hi_dHf,r_dHvap,lo_dHvap,hi_dHvap,r_S,lo_S,hi_S,r_omega,lo_omega,hi_omega
M1,classical,-0.7181,-0.8826,-0.4664,-0.7623,-0.9107,-0.4945,-0.912,-0.9713,-0.8096,-0.973,-0.989,-0.9369,-0.9702,-0.9914,-0.9128
M2,classical,-0.5029,-0.7992,-0.0808,-0.5525,-0.8219,-0.107,-0.7754,-0.9348,-0.4925,-0.9419,-0.9774,-0.8498,-0.9868,-0.9969,-0.9596
R,classical,0.8208,0.67,0.9335,0.8477,0.6819,0.9455,0.9564,0.9173,0.9841,0.9352,0.7957,0.9859,0.9013,0.7056,0.9729
SO,classical,-0.7477,-0.8948,-0.5143,-0.7927,-0.9246,-0.5573,-0.9258,-0.9742,-0.8423,-0.9688,-0.9882,-0.9237,-0.9568,-0.9865,-0.8783
GA,classical,0.8229,0.6619,0.9359,0.8559,0.6997,0.9493,0.9586,0.9169,0.9856,0.9422,0.8387,0.9842,0.9094,0.7449,0.9725
H,classical,0.8224,0.6701,0.9342,0.8458,0.6818,0.9398,0.9587,0.9173,0.9856,0.9348,0.8018,0.9841,0.9037,0.7175,0.9732
ABC,classical,-0.8689,-0.9589,-0.7694,-0.892,-0.9561,-0.7892,-0.944,-0.9752,-0.8748,-0.8576,-0.9684,-0.5647,-0.7899,-0.9397,-0.4306
AZI,classical,0.9363,0.8548,0.976,0.9225,0.8464,0.9712,0.9288,0.8259,0.9752,0.7336,0.4429,0.8979,0.6565,0.2814,0.8668
"W(1,0,0)",Wuzi,-0.5029,-0.7962,-0.0749,-0.5525,-0.8207,-0.108,-0.7754,-0.9343,-0.4856,-0.9419,-0.977,-0.8473,-0.9868,-0.9968,-0.9597
"W(-0.5,0,0)",Wuzi,0.8208,0.668,0.9356,0.8477,0.6857,0.9423,0.9564,0.9172,0.9846,0.9352,0.7995,0.9857,0.9013,0.7086,0.9734
"W(0,-0.5,0)",Wuzi,0.8013,0.6269,0.9235,0.8292,0.6386,0.9365,0.9528,0.9038,0.9847,0.9498,0.8567,0.987,0.9265,0.7902,0.9793
"W(0,-1,0)",Wuzi,0.8224,0.6745,0.9346,0.8458,0.6788,0.9416,0.9587,0.9183,0.9849,0.9348,0.8071,0.9841,0.9037,0.7201,0.9726
"W(0,0,1)",Wuzi,-0.8278,-0.9391,-0.6122,-0.831,-0.9377,-0.6438,-0.9659,-0.9922,-0.9109,-0.9306,-0.9726,-0.8803,-0.9297,-0.9762,-0.829
"W(0,0,2)",Wuzi,-0.8298,-0.9371,-0.639,-0.8445,-0.945,-0.6636,-0.9675,-0.9906,-0.9209,-0.9393,-0.978,-0.8741,-0.9263,-0.9757,-0.8021
"W(1,1,1)",Wuzi,-0.6147,-0.8483,-0.2592,-0.6769,-0.8834,-0.3276,-0.8399,-0.946,-0.6384,-0.9585,-0.9845,-0.9033,-0.9806,-0.9943,-0.9444
"W(-1,-1,1)",Wuzi,0.7632,0.5445,0.9047,0.8297,0.6401,0.9359,0.7467,0.3943,0.9169,0.6322,0.0595,0.8931,0.4939,-0.1154,0.8201
