index,family,n_sample,r_T_B,r_dHf,r_dHvap,r_S,r_omega
M1,classical,18,-0.7180987559783857,-0.7623221005939398,-0.9120493640364755,-0.9729602385765868,-0.9702085526536579
M2,classical,18,-0.5029275332680017,-0.5525221517749291,-0.7754112716049174,-0.9419498072569499,-0.9867910867582472
R,classical,18,0.8208460319825697,0.8477114910868382,0.9564260710584627,0.9351864936631147,0.9013034378267434
SO,classical,18,-0.747651292851345,-0.7926933058642733,-0.9257635022686936,-0.9687943443224335,-0.9567649425568767
GA,classical,18,0.822942498458797,0.8559257677835567,0.9585876427282458,0.9421867004707479,0.9093993182132476
H,classical,18,0.8223927466800284,0.8458463193578438,0.9586580722071927,0.9348148595084209,0.9037182475682739
ABC,classical,18,-0.8688971542641459,-0.8920402469026412,-0.9439852076438485,-0.8575892464404506,-0.7899331649814019
AZI,classical,18,0.936274263295134,0.922460311124021,0.9288086142718265,0.7335913800090007,0.6564872270966472
"W(1, 0, 0)",Wuzi,18,-0.5029275332680017,-0.5525221517749291,-0.7754112716049174,-0.9419498072569499,-0.9867910867582472
"W(-0.5, 0, 0)",Wuzi,18,0.8208460319825699,0.8477114910868382,0.9564260710584627,0.9351864936631147,0.9013034378267434
"W(0, -0.5, 0)",Wuzi,18,0.801275357488373,0.8292298281137205,0.9527975594977512,0.9498083093784646,0.9265410300629326
"W(0, -1, 0)",Wuzi,18,0.8223927466800284,0.8458463193578438,0.9586580722071927,0.934814859508421,0.9037182475682739
"W(0, 0, 1)",Wuzi,18,-0.8277597281180494,-0.8310014498887752,-0.9659338897060042,-0.9305572892530715,-0.9297361395508917
"W(0, 0, 2)",Wuzi,18,-0.8298021902525501,-0.8444546249631134,-0.9674801721470258,-0.9392986049288654,-0.9262560944635192
"W(1, 1, 1)",Wuzi,18,-0.6146882829582305,-0.6769062338687827,-0.8398534571057338,-0.9585454991758674,-0.980589198989181
"W(-1, -1, 1)",Wuzi,18,0.7631935906060271,0.8297189148176464,0.7467153305487443,0.6321884500485728,0.4939333587931619
