index,family,r_T_B,loo_min_T_B,loo_max_T_B,loo_max_drift_T_B,loo_argmax_drift_T_B,r_dHf,loo_min_dHf,loo_max_dHf,loo_max_drift_dHf,loo_argmax_drift_dHf,r_dHvap,loo_min_dHvap,loo_max_dHvap,loo_max_drift_dHvap,loo_argmax_drift_dHvap,r_S,loo_min_S,loo_max_S,loo_max_drift_S,loo_argmax_drift_S,r_omega,loo_min_omega,loo_max_omega,loo_max_drift_omega,loo_argmax_drift_omega
M1,classical,-0.7181,-0.7579,-0.649,0.0691,n-octane,-0.7623,-0.8169,-0.6984,0.0639,"2,2,3,3-tetramethylbutane",-0.912,-0.9319,-0.8877,0.0244,"2,2,3,3-tetramethylbutane",-0.973,-0.9783,-0.9585,0.0144,"2,2,3,3-tetramethylbutane",-0.9702,-0.9778,-0.954,0.0162,"2,2,3,3-tetramethylbutane"
M2,classical,-0.5029,-0.5646,-0.3785,0.1244,n-octane,-0.5525,-0.631,-0.4114,0.1411,"2,2,3,3-tetramethylbutane",-0.7754,-0.8478,-0.6923,0.0831,"2,2,3,3-tetramethylbutane",-0.9419,-0.9536,-0.9127,0.0293,"2,2,3,3-tetramethylbutane",-0.9868,-0.9935,-0.9799,0.0068,"2,2,3,3-tetramethylbutane"
R,classical,0.8208,0.779,0.8509,0.0419,n-octane,0.8477,0.8166,0.8742,0.0311,"2,2,3,3-tetramethylbutane",0.9564,0.9507,0.964,0.0076,"2,3,3-trimethylpentane",0.9352,0.8965,0.9687,0.0386,"2,2,3,3-tetramethylbutane",0.9013,0.8472,0.9386,0.0541,"2,2,3,3-tetramethylbutane"
SO,classical,-0.7477,-0.785,-0.6882,0.0595,n-octane,-0.7927,-0.8424,-0.7408,0.0519,"2,2,3,3-tetramethylbutane",-0.9258,-0.9394,-0.9075,0.0183,"2,2,3,3-tetramethylbutane",-0.9688,-0.9763,-0.9515,0.0173,"2,2,3,3-tetramethylbutane",-0.9568,-0.9675,-0.933,0.0237,"2,2,3,3-tetramethylbutane"
GA,classical,0.8229,0.782,0.8538,0.041,n-octane,0.8559,0.8266,0.8858,0.0298,"2,5-dimethylhexane",0.9586,0.9523,0.9666,0.008,"2,3,3-trimethylpentane",0.9422,0.9101,0.9652,0.0321,"2,2,3,3-tetramethylbutane",0.9094,0.8606,0.9355,0.0488,"2,2,3,3-tetramethylbutane"
H,classical,0.8224,0.7784,0.8533,0.044,n-octane,0.8458,0.8124,0.8712,0.0335,"2,2,3,3-tetramethylbutane",0.9587,0.952,0.9668,0.0081,"2,3,3-trimethylpentane",0.9348,0.8986,0.9668,0.0362,"2,2,3,3-tetramethylbutane",0.9037,0.8522,0.9395,0.0515,"2,2,3,3-tetramethylbutane"
ABC,classical,-0.8689,-0.8991,-0.8501,0.0302,"2,2,3,3-tetramethylbutane",-0.892,-0.9085,-0.8744,0.0176,n-octane,-0.944,-0.954,-0.9301,0.0138,"2,2,3,3-tetramethylbutane",-0.8576,-0.9312,-0.7742,0.0834,"2,2,3,3-tetramethylbutane",-0.7899,-0.8675,-0.6795,0.1104,"2,2,3,3-tetramethylbutane"
AZI,classical,0.9363,0.9139,0.9488,0.0223,"2,2,4-trimethylpentane",0.9225,0.9071,0.9353,0.0153,"2,2,3,3-tetramethylbutane",0.9288,0.9048,0.9439,0.024,"2,2,4-trimethylpentane",0.7336,0.6828,0.8092,0.0757,3-methyl-3-ethylpentane,0.6565,0.5694,0.7353,0.0871,"2,2,3,3-tetramethylbutane"
"W(1,0,0)",Wuzi,-0.5029,-0.5646,-0.3785,0.1244,n-octane,-0.5525,-0.631,-0.4114,0.1411,"2,2,3,3-tetramethylbutane",-0.7754,-0.8478,-0.6923,0.0831,"2,2,3,3-tetramethylbutane",-0.9419,-0.9536,-0.9127,0.0293,"2,2,3,3-tetramethylbutane",-0.9868,-0.9935,-0.9799,0.0068,"2,2,3,3-tetramethylbutane"
"W(-0.5,0,0)",Wuzi,0.8208,0.779,0.8509,0.0419,n-octane,0.8477,0.8166,0.8742,0.0311,"2,2,3,3-tetramethylbutane",0.9564,0.9507,0.964,0.0076,"2,3,3-trimethylpentane",0.9352,0.8965,0.9687,0.0386,"2,2,3,3-tetramethylbutane",0.9013,0.8472,0.9386,0.0541,"2,2,3,3-tetramethylbutane"
