name,smiles,T_B,dHf,dHvap,S,omega,M1,M2,mM1,mM2,F,R,SCI,H,GA,AG,ABC,ABS,AZI,SO,SO_red,Alb,Sigma,redM1,W,WW,HR,Schultz,Gutman,Mostar,Sz,PI,EE,Energy,SpecRad,Balaban_J,Wuzi_a-0.5_b0.0_g2.0,Wuzi_a-1.0_b-1.0_g1.0,Wuzi_a1.0_b0.0_g0.0,Wuzi_a-0.5_b0.0_g0.0,Wuzi_a0.5_b0.3_g1.0
n-octane,CCCCCCCC,125.6,-49.82,9.92,111.55,0.398,26.0,24.0,3.5,2.25,50.0,3.914213562373095,3.6547005383792515,3.833333333333333,6.885618083164127,7.121320343559642,4.949747468305834,4.69023444431199,56.0,18.61427157873053,9.071067811865476,2.0,2.0,6.0,84.0,210.0,13.742857142857144,280.0,231.0,24.0,84.0,42.0,16.754072029940975,9.517540966287266,1.8793852415718166,2.53006045688352,5.254511896755277,0.7777041416953632,24.0,3.914213562373095,20.6455712452114
2-methylheptane,CC(C)CCCCC,117.6,-51.5,9.48,109.84,0.378,28.0,26.0,4.111111111111111,2.083333333333333,62.0,3.770055610029662,3.5245638646895836,3.5666666666666664,6.654655746264212,7.390681974697982,5.16852706778819,4.887480844363847,46.75,20.65145594753911,11.478708664619075,6.0,10.0,8.0,79.0,185.0,14.1,260.0,211.0,26.0,79.0,42.0,16.95709711618083,8.762572535069646,1.9498558243636472,2.715842761293259,6.625092321649652,0.7356023745697086,26.0,3.770055610029662,25.343974168134924
3-methylheptane,CCC(C)CCCC,118.9,-50.82,9.52,111.26,0.371,28.0,27.0,4.111111111111111,2.166666666666667,62.0,3.808060412490447,3.5491277293791677,3.6333333333333333,6.7112352811751075,7.317262334258209,5.059137268047012,4.825214220421861,51.375,20.50237041558832,11.300563079745771,6.0,8.0,8.0,76.0,170.0,14.266666666666667,248.0,199.0,28.0,76.0,42.0,16.966701159972693,9.409260218956907,1.9890437907365464,2.862065598305084,6.541982407117011,0.8090244314643852,27.0,3.808060412490447,25.57706133080674
4-methylheptane,CCCC(C)CCC,117.7,-50.69,9.48,109.32,0.372,28.0,27.0,4.111111111111111,2.166666666666667,62.0,3.808060412490447,3.549127729379167,3.633333333333333,6.7112352811751075,7.317262334258209,5.059137268047012,4.825214220421861,51.375,20.50237041558832,11.300563079745771,6.0,8.0,8.0,75.0,165.0,14.316666666666666,244.0,195.0,30.0,75.0,42.0,16.96691976501489,8.828427124746192,2.0,2.919612641438553,6.541982407117011,0.8090244314643852,27.0,3.808060412490447,25.577061330806732
"2,2-dimethylhexane",CC(C)(C)CCCC,106.8,-53.71,8.92,103.13,0.339,32.0,30.0,4.8125,1.875,92.0,3.5606601717798214,3.327239346153363,3.1999999999999997,6.2856180831641275,7.871320343559642,5.426503336099507,5.131850420214898,39.11111111111111,24.734375058844734,15.990704784914572,12.0,32.0,12.0,71.0,149.0,14.766666666666667,228.0,179.0,30.0,71.0,42.0,17.383032475181246,8.312845350263807,2.111990736253065,3.111766194388426,8.04605930667128,0.6599951497622181,30.0,3.5606601717798214,33.28226204708031
"2,3-dimethylhexane",CC(C)C(C)CCC,115.6,-51.13,9.27,108.02,0.348,30.0,30.0,4.722222222222222,2.0277777777777777,74.0,3.6807392125526213,3.4328121551534467,3.4,6.520681150048651,7.545382513077234,5.237476753009488,4.996870644105026,45.515625,22.399520045334395,13.478708664619075,8.0,14.0,10.0,70.0,143.0,14.733333333333334,224.0,175.0,32.0,70.0,42.0,17.179776633166334,8.64705294709901,2.0743132930519432,3.170819357347939,7.527826400377083,0.7665143323132378,30.0,3.6807392125526213,28.74480230478242
"2,4-dimethylhexane",CC(C)CC(C)CC,109.4,-52.44,9.03,106.98,0.344,30.0,29.0,4.722222222222222,2.0,74.0,3.6639024601470145,3.4189910556894993,3.3666666666666663,6.4802729442751925,7.586623965396549,5.277916867529369,5.022460620473719,42.125,22.539554784396895,13.70820393249937,10.0,16.0,10.0,71.0,147.0,14.65,228.0,179.0,30.0,71.0,42.0,17.169950912749446,8.56518691386183,2.0420789618979076,3.0988280941131414,7.912562832011385,0.7669226643387306,29.0,3.663902460147014,30.275464253730252
"2,5-dimethylhexane",CC(C)CCC(C)C,109.1,-53.21,9.05,105.72,0.357,30.0,28.0,4.722222222222222,1.9166666666666665,74.0,3.625897657686229,3.3944271909999157,3.3,6.423693409364296,7.6600436058363215,5.387306667270547,5.084727244415705,37.5,22.688640316347684,13.886349517372675,10.0,18.0,10.0,74.0,161.0,14.466666666666665,240.0,191.0,28.0,74.0,42.0,17.160125219727846,8.47213595499958,2.000000000000001,2.9278193611827583,7.9956727465440265,0.6935006074440541,28.0,3.625897657686229,30.042377091058448
"3,3-dimethylhexane",CCCC(C)(C)CC,111.9,-52.61,9.04,104.74,0.322,32.0,32.0,4.8125,2.0,92.0,3.6213203435596424,3.3656243103068935,3.3,6.371236166328254,7.742640687119284,5.267584713501615,5.043993819904219,44.74074074074074,24.49104624098025,15.738768882709854,12.0,28.0,12.0,67.0,131.0,15.033333333333335,212.0,163.0,34.0,67.0,42.0,17.402690087274014,8.519258401726837,2.1566393785093454,3.373381552563661,7.951884767869464,0.7680665394463344,32.0,3.6213203435596424,33.84599386461198
"3,4-dimethylhexane",CCC(C)C(C)CC,117.7,-50.91,9.32,106.59,0.34,30.0,31.0,4.722222222222222,2.111111111111111,74.0,3.718744015013406,3.4573760198430303,3.4666666666666663,6.577260684959546,7.4719628726374605,5.128086953268309,4.9346040201630395,50.140625,22.2504345133836,13.30056307974577,8.0,12.0,10.0,68.0,134.0,14.866666666666667,216.0,167.0,32.0,68.0,42.0,17.18938374871347,9.331737161808405,2.095293985223914,3.292478156075495,7.444716485844443,0.8399363892079144,31.0,3.718744015013406,28.977889467454236
