dataset,method,task,n,rmse_mean,rmse_std,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,n_features_mean,n_features_std
esol,LASSO_CV,regression,1127,1.5445,0.0733,,,,,14.6,4.27
esol,ElasticNet_CV,regression,1127,1.546,0.0743,,,,,16.2,3.37
esol,mRMR_k7,regression,1127,1.6537,0.0629,,,,,7.0,0.0
esol,Boruta_RF,regression,1127,1.6202,0.0677,,,,,10.0,0.0
freesolv,LASSO_CV,regression,639,3.5265,0.1979,,,,,13.4,5.75
freesolv,ElasticNet_CV,regression,639,3.5146,0.1896,,,,,18.6,5.46
freesolv,mRMR_k8,regression,639,3.6183,0.1736,,,,,8.0,0.0
freesolv,Boruta_RF,regression,639,3.5883,0.1483,,,,,2.0,0.0
lipophilicity,LASSO_CV,regression,4200,1.1298,0.0296,,,,,15.6,2.65
lipophilicity,ElasticNet_CV,regression,4200,1.1302,0.0286,,,,,17.8,1.47
lipophilicity,mRMR_k8,regression,4200,1.1423,0.0258,,,,,8.0,0.0
lipophilicity,Boruta_RF,regression,4200,1.1442,0.0266,,,,,5.0,0.0
bbbp,L1_Logistic_CV,classification,2039,,,0.7898,0.0261,0.845,0.0145,13.6,7.42
bbbp,mRMR_k6,classification,2039,,,0.7473,0.0334,0.8063,0.0098,6.0,0.0
bbbp,Boruta_RF,classification,2039,,,0.7907,0.0181,0.8485,0.0103,23.0,0.0
