dataset,task,config,fold,metric,value
esol,regression,full,0,rmse,1.525938124621819
esol,regression,full,1,rmse,1.4801563903570105
esol,regression,full,2,rmse,1.4291260833875759
esol,regression,full,3,rmse,1.6219212261076548
esol,regression,full,4,rmse,1.622967994590908
esol,regression,pairwise_pruned,0,rmse,1.5889786326285666
esol,regression,pairwise_pruned,1,rmse,1.47901317764939
esol,regression,pairwise_pruned,2,rmse,1.4867965571189659
esol,regression,pairwise_pruned,3,rmse,1.6756169850929226
esol,regression,pairwise_pruned,4,rmse,1.6680347002735942
esol,regression,combined_pruned,0,rmse,1.5980321502846315
esol,regression,combined_pruned,1,rmse,1.47711829790852
esol,regression,combined_pruned,2,rmse,1.494510112000488
esol,regression,combined_pruned,3,rmse,1.6979040420334934
esol,regression,combined_pruned,4,rmse,1.6746323781765446
freesolv,regression,full,0,rmse,4.128756297810206
freesolv,regression,full,1,rmse,3.4877913376663137
freesolv,regression,full,2,rmse,2.8952711752996723
freesolv,regression,full,3,rmse,3.5386056318555257
freesolv,regression,full,4,rmse,3.2930811859167357
freesolv,regression,pairwise_pruned,0,rmse,4.109627921766677
freesolv,regression,pairwise_pruned,1,rmse,3.475416739428846
freesolv,regression,pairwise_pruned,2,rmse,2.905787930785073
freesolv,regression,pairwise_pruned,3,rmse,3.5664542235206373
freesolv,regression,pairwise_pruned,4,rmse,3.2694248878969203
freesolv,regression,combined_pruned,0,rmse,4.100465754707876
freesolv,regression,combined_pruned,1,rmse,3.430168684383031
freesolv,regression,combined_pruned,2,rmse,2.9116448342209402
freesolv,regression,combined_pruned,3,rmse,3.5633985244055912
freesolv,regression,combined_pruned,4,rmse,3.3023375247324185
lipophilicity,regression,full,0,rmse,1.1469053299702605
lipophilicity,regression,full,1,rmse,1.1474274042691395
lipophilicity,regression,full,2,rmse,1.1186743180161673
lipophilicity,regression,full,3,rmse,1.1177885784824413
lipophilicity,regression,full,4,rmse,1.1108435349191224
lipophilicity,regression,pairwise_pruned,0,rmse,1.1563595904543054
lipophilicity,regression,pairwise_pruned,1,rmse,1.1494310569958988
lipophilicity,regression,pairwise_pruned,2,rmse,1.1233781765837647
lipophilicity,regression,pairwise_pruned,3,rmse,1.130217185112843
lipophilicity,regression,pairwise_pruned,4,rmse,1.1274209417762262
lipophilicity,regression,combined_pruned,0,rmse,nan
lipophilicity,regression,combined_pruned,1,rmse,1.2195071330272917
lipophilicity,regression,combined_pruned,2,rmse,nan
lipophilicity,regression,combined_pruned,3,rmse,nan
lipophilicity,regression,combined_pruned,4,rmse,nan
bbbp,classification,full,0,roc_auc,0.7721187232905984
bbbp,classification,full,1,roc_auc,0.8060062767094017
bbbp,classification,full,2,roc_auc,0.8228665865384616
bbbp,classification,full,3,roc_auc,0.7772769764957265
bbbp,classification,full,4,roc_auc,0.7914811066126856
bbbp,classification,pairwise_pruned,0,roc_auc,0.7520866720085471
bbbp,classification,pairwise_pruned,1,roc_auc,0.8033353365384616
bbbp,classification,pairwise_pruned,2,roc_auc,0.8264055822649574
bbbp,classification,pairwise_pruned,3,roc_auc,0.7681790865384615
bbbp,classification,pairwise_pruned,4,roc_auc,0.7863022941970309
bbbp,classification,combined_pruned,0,roc_auc,0.748313969017094
bbbp,classification,combined_pruned,1,roc_auc,0.8066072382478633
bbbp,classification,combined_pruned,2,roc_auc,0.8277744391025642
bbbp,classification,combined_pruned,3,roc_auc,0.7658754006410257
bbbp,classification,combined_pruned,4,roc_auc,0.7820006747638326
