descriptor,raw_corr_y,partial_corr_y
PI,-0.46891391881355765,-0.12346637511942335
HR,-0.5461245481981263,0.10799246908138065
WW,-0.22395644735093825,-0.10790365190709292
Schultz,-0.33668553124670464,0.06446928614819489
W,-0.34671891423021156,-0.059386788607150645
Gutman,-0.32593426731131436,-0.05521141957142694
SpecRad,-0.5038714317205969,0.04879090053864849
EE,-0.5887380578573009,-0.047752704840960634
Mostar,-0.447374823998348,0.04164105010358832
Energy,-0.5964451664203707,0.03705977055581439
Sz,-0.3391864428845515,0.03135491182931866
Balaban_J,0.25706757383054074,0.02686410034089635
Alb,-0.38385169553126797,0.012702619840794314
AZI,-0.594405027913615,0.004964078932915732
F,-0.5530845073178583,0.0009420002316690781
SO,-0.5765449814407239,0.0
GA,-0.5967654932343094,0.0
mM1,-0.4401458858429752,0.0
mM2,-0.5749821808665357,0.0
R,-0.5911765827843573,0.0
SCI,-0.5955680417289817,0.0
H,-0.5955403145601469,0.0
AG,-0.5875648008565825,0.0
SO_red,-0.558969143087305,0.0
ABC,-0.5898929766485,0.0
ABS,-0.5902787171119734,0.0
redM1,-0.5520345635626142,0.0
Sigma,-0.32340027143130834,0.0
M2,-0.5700918078712182,0.0
M1,-0.5807587546909055,0.0
