component,var_explained,cumulative
1,0.8404807992104655,0.8404807992104655
2,0.07759326512336616,0.9180740643338317
3,0.04579308856932625,0.9638671529031579
4,0.018617583634466917,0.9824847365376248
5,0.010879054703899039,0.9933637912415239
6,0.0027874947821053746,0.9961512860236292
7,0.001413020796874639,0.9975643068205039
8,0.001216732373321749,0.9987810391938257
9,0.0006403864774288326,0.9994214256712545
10,0.0002549235255647509,0.9996763491968192
11,0.0001688025493459958,0.9998451517461653
12,6.515027161710966e-05,0.9999103020177824
13,3.5068465818956775e-05,0.9999453704836013
14,2.1582657474800004e-05,0.9999669531410761
15,1.1913548962728161e-05,0.9999788666900388
16,9.362274138314138e-06,0.999988228964177
17,6.818979723535402e-06,0.9999950479439006
18,2.784833126401582e-06,0.999997832777027
19,1.950817155949024e-06,0.999999783594183
20,1.7053093781930325e-07,0.9999999541251208
21,2.4134413666512897e-08,0.9999999782595345
22,2.1740465265296702e-08,0.9999999999999998
23,1.2744396831691717e-16,0.9999999999999999
24,1.125309396544659e-16,1.0
25,7.72553334129854e-17,1.0
26,1.569846888434203e-17,1.0
27,0.0,1.0
28,0.0,1.0
29,0.0,1.0
30,0.0,1.0
