index,family,SS,Abr,SA
Sigma,baseline,0.5470218330400866,2.3609653725078696,0.23169413639431224
Alb,baseline,0.3405047590858498,1.6059957173447539,0.21202096332412246
redM1,baseline,0.208272483573747,0.9562841530054644,0.21779351139426117
PI,baseline,0.19982740577987185,0.7660878447395302,0.2608413736779927
F,baseline,0.19895399495962113,0.8771929824561404,0.22680755425396806
WW,baseline,0.19754909891013117,0.9706470980653769,0.20352309227923482
SO_red,baseline,0.17407477882197295,0.8001604306658114,0.21754984644407593
"Wuzi(α=0.0, β=0.0, γ=2.0)",wuzi,0.16537937494339497,0.7901443718202199,0.2093027310470085
Sz,baseline,0.1634139400510137,0.6972953392900266,0.23435398294415505
"Wuzi(α=0.5, β=0.3, γ=1.0)",wuzi,0.14345670394874196,0.6715540613187383,0.21361899541942225
Gutman,baseline,0.1347186921040844,0.6537446954926024,0.2060723292027214
AZI,baseline,0.13038570700380725,0.6222281706656789,0.2095464544209186
"Wuzi(α=-0.5, β=0.0, γ=2.0)",wuzi,0.1281789402228812,0.6325487739338235,0.20263882486995563
mM1,baseline,0.1154378153802819,0.5661110841148743,0.20391371697088598
"Wuzi(α=1.0, β=0.0, γ=0.0)",wuzi,0.10983300694372744,0.5236432878451285,0.20974776053314254
M2,baseline,0.10983300694372744,0.5236432878451285,0.20974776053314254
Schultz,baseline,0.10944852105981402,0.5308910276311705,0.20616005048752103
Balaban_J,baseline,0.10666483088727234,0.49241445568131065,0.21661596173022496
SO,baseline,0.0976190050455384,0.4455819285579657,0.21908205604626346
"Wuzi(α=-1.0, β=-1.0, γ=1.0)",wuzi,0.09756263180075654,0.4880232953483966,0.19991388265821863
W,baseline,0.09150483265154075,0.4400864731315627,0.20792466535136067
"Wuzi(α=0.0, β=0.0, γ=1.0)",wuzi,0.08310714789374551,0.4056907859436839,0.20485342722395983
M1,baseline,0.07502729231101517,0.34448818897637795,0.21779351139426117
mM2,baseline,0.07474122982669577,0.316288877174486,0.2363068549687365
Mostar,baseline,0.07049820483985134,0.3174123337363966,0.22210291581926497
H,baseline,0.07029889507913809,0.3235098938223938,0.21730060323203598
Energy,baseline,0.05713206935965442,0.22177691613433376,0.257610532040443
SpecRad,baseline,0.0453366996668617,0.21225748474544615,0.21359293747041525
HR,baseline,0.03661340653379437,0.17439288273113782,0.20994782562452047
"Wuzi(α=-0.5, β=0.0, γ=0.0)",wuzi,0.036267488927958495,0.16601442731824056,0.2184598622771243
R,baseline,0.03626748892795848,0.16601442731824056,0.21845986227712422
SCI,baseline,0.03556862710656624,0.16552016407204453,0.21488999425522917
AG,baseline,0.03551503769179766,0.15880556497026485,0.2236384959081729
ABC,baseline,0.034504177455938735,0.14758462126941252,0.2337924992398233
GA,baseline,0.032962395581405575,0.14894246139111716,0.2213095934734662
ABS,baseline,0.031994861118839285,0.14410066208160632,0.22203132627329725
EE,baseline,0.015144807025426787,0.07004510535269068,0.21621506526644152
