descriptor,R2_vs_rest,VIF
M1,1.0,inf
ABC,1.0,inf
redM1,1.0,inf
Sigma,1.0,inf
M2,1.0,inf
SO_red,1.0,inf
SO,1.0,inf
AZI,1.0,inf
ABS,1.0,inf
Alb,1.0,inf
AG,1.0,inf
H,1.0,inf
SCI,1.0,inf
R,1.0,inf
F,1.0,inf
mM2,1.0,inf
mM1,1.0,inf
GA,1.0,inf
Schultz,0.9999989530845853,955187.0055263299
Gutman,0.9999961955131992,262847.5409048563
W,0.9999956628408612,230565.6693678079
EE,0.9999356662480922,15543.940316624303
PI,0.999692179388375,3248.6453545810755
HR,0.9995934940663997,2459.98869227668
Energy,0.9993798205658099,1612.436570564242
WW,0.9989141483086571,920.936079920156
Sz,0.9988246629883398,850.8197989847127
Mostar,0.9969619525485919,329.15878240693854
SpecRad,0.9692153131510431,32.48368271233154
Balaban_J,0.9202391882694017,12.537485242472448
