alpha,beta,gamma,classical_index,c_min,c_max,argmin_pair,argmax_pair,n_pairs_used
1.0,0.0,0.0,M1,0.5,2.0,"(1,1)","(4,4)",10
1.0,0.0,0.0,M2,1.0,1.0,"(1,1)","(1,1)",10
1.0,0.0,0.0,R,1.0,64.0,"(1,1)","(4,4)",10
1.0,0.0,0.0,SO,0.7071067811865475,2.82842712474619,"(1,1)","(4,4)",10
1.0,0.0,0.0,GA,1.0,16.0,"(1,1)","(4,4)",10
1.0,0.0,0.0,H,1.0,64.0,"(1,1)","(4,4)",10
1.0,0.0,0.0,ABC,2.82842712474619,26.127890589687237,"(1,2)","(4,4)",9
-0.5,0.0,0.0,M1,0.03125,0.5,"(4,4)","(1,1)",10
-0.5,0.0,0.0,M2,0.015625,1.0,"(4,4)","(1,1)",10
-0.5,0.0,0.0,R,0.9999999999999998,1.0000000000000002,"(1,3)","(1,2)",10
-0.5,0.0,0.0,SO,0.044194173824159216,0.7071067811865475,"(4,4)","(1,1)",10
-0.5,0.0,0.0,GA,0.25,1.0,"(4,4)","(1,1)",10
-0.5,0.0,0.0,H,1.0,1.25,"(1,1)","(1,4)",10
-0.5,0.0,0.0,ABC,0.4082482904638631,1.0,"(4,4)","(1,2)",9
0.0,-0.5,0.0,M1,0.04419417382415922,0.3535533905932738,"(4,4)","(1,1)",10
0.0,-0.5,0.0,M2,0.02209708691207961,0.7071067811865476,"(4,4)","(1,1)",10
0.0,-0.5,0.0,R,0.7071067811865476,1.4142135623730951,"(1,1)","(4,4)",10
0.0,-0.5,0.0,SO,0.0625,0.5,"(4,4)","(1,1)",10
0.0,-0.5,0.0,GA,0.3535533905932738,0.7071067811865476,"(4,4)","(1,1)",10
0.0,-0.5,0.0,H,0.7071067811865476,1.4142135623730951,"(1,1)","(4,4)",10
0.0,-0.5,0.0,ABC,0.5163977794943223,0.8164965809277259,"(1,4)","(1,2)",9
0.0,-1.0,0.0,M1,0.015625,0.25,"(4,4)","(1,1)",10
0.0,-1.0,0.0,M2,0.0078125,0.5,"(4,4)","(1,1)",10
0.0,-1.0,0.0,R,0.4,0.5,"(1,4)","(1,1)",10
0.0,-1.0,0.0,SO,0.022097086912079608,0.35355339059327373,"(4,4)","(1,1)",10
0.0,-1.0,0.0,GA,0.125,0.5,"(4,4)","(1,1)",10
0.0,-1.0,0.0,H,0.5,0.5,"(1,1)","(1,1)",10
0.0,-1.0,0.0,ABC,0.20412414523193154,0.4714045207910316,"(4,4)","(1,2)",9
0.0,0.0,1.0,M1,0.125,0.5,"(4,4)","(1,1)",10
0.0,0.0,1.0,M2,0.0625,1.0,"(4,4)","(1,1)",10
0.0,0.0,1.0,R,1.0,4.0,"(1,1)","(4,4)",10
0.0,0.0,1.0,SO,0.17677669529663687,0.7071067811865475,"(4,4)","(1,1)",10
0.0,0.0,1.0,GA,1.0,2.277648500488136,"(1,1)","(1,4)",10
0.0,0.0,1.0,H,1.0,4.555297000976272,"(1,1)","(1,4)",10
0.0,0.0,1.0,ABC,1.414213562373095,2.1040015598018766,"(2,2)","(1,4)",9
0.0,0.0,2.0,M1,0.125,0.6795704571147613,"(4,4)","(1,3)",10
0.0,0.0,2.0,M2,0.0625,1.0,"(4,4)","(1,1)",10
0.0,0.0,2.0,R,1.0,6.6402338454730945,"(1,1)","(1,4)",10
0.0,0.0,2.0,SO,0.17677669529663687,0.8710531435777242,"(4,4)","(1,2)",10
0.0,0.0,2.0,GA,1.0,4.150146153420684,"(1,1)","(1,4)",10
0.0,0.0,2.0,H,1.0,8.300292306841367,"(1,1)","(1,4)",10
0.0,0.0,2.0,ABC,1.414213562373095,3.8337407981659553,"(2,2)","(1,4)",9
1.0,1.0,1.0,M1,1.0,16.0,"(1,1)","(4,4)",10
1.0,1.0,1.0,M2,2.0,9.110594001952544,"(1,1)","(1,4)",10
1.0,1.0,1.0,R,2.0,512.0,"(1,1)","(4,4)",10
1.0,1.0,1.0,SO,1.414213562373095,22.62741699796952,"(1,1)","(4,4)",10
1.0,1.0,1.0,GA,2.0,128.0,"(1,1)","(4,4)",10
1.0,1.0,1.0,H,2.0,512.0,"(1,1)","(4,4)",10
1.0,1.0,1.0,ABC,11.842164116238916,209.0231247174979,"(1,2)","(4,4)",9
-1.0,-1.0,1.0,M1,0.0009765625,0.25,"(4,4)","(1,1)",10
-1.0,-1.0,1.0,M2,0.00048828125,0.5,"(4,4)","(1,1)",10
-1.0,-1.0,1.0,R,0.03125,0.5,"(4,4)","(1,1)",10
-1.0,-1.0,1.0,SO,0.0013810679320049755,0.35355339059327373,"(4,4)","(1,1)",10
-1.0,-1.0,1.0,GA,0.0078125,0.5,"(4,4)","(1,1)",10
-1.0,-1.0,1.0,H,0.03125,0.5,"(4,4)","(1,1)",10
-1.0,-1.0,1.0,ABC,0.012757759076995721,0.3289490032288588,"(4,4)","(1,2)",9
