n,n_trees,W_max,argmax_degree_seq,argmax_graph6
5,3,0.5902041417,"2,2,2,1,1",DqC
6,6,0.6840244315,"3,2,2,1,1,1",EqD?
7,11,0.8199464884,"3,2,2,2,1,1,1",FqD?G
8,23,0.8824464884,"3,2,2,2,2,1,1,1",GpOI?C
9,47,1.0467093188,"4,2,2,2,2,1,1,1,1",HqD?I?@
10,106,1.1117805030,"3,3,2,2,2,2,1,1,1,1",Ip_I?D??G
11,235,1.2726577120,"5,2,2,2,2,2,1,1,1,1,1",JqD?I?@O??_
12,551,1.3453958980,"4,3,2,2,2,2,2,1,1,1,1,1",Kp_I?D??I??@
13,1301,1.4986575045,"6,2,2,2,2,2,2,1,1,1,1,1,1",LqD?I?@O??g??@
14,3159,1.5778764782,"4,4,2,2,2,2,2,2,1,1,1,1,1,1",Mp_K?D??I??@O???_
15,7741,1.7250427736,"7,2,2,2,2,2,2,2,1,1,1,1,1,1,1",NqD?I?@O??g??@O???G
