index,family,n_distinct,degeneracy_pct
Balaban_J,baseline,105,0.9433962264150941
EE,baseline,102,3.7735849056603765
Energy,baseline,102,3.7735849056603765
SpecRad,baseline,93,12.264150943396224
WW,baseline,91,14.150943396226412
HR,baseline,83,21.698113207547166
"Wuzi(α=0.0, β=0.0, γ=1.0)",wuzi,79,25.47169811320755
"Wuzi(α=-0.5, β=0.0, γ=2.0)",wuzi,79,25.47169811320755
SO_red,baseline,79,25.47169811320755
SO,baseline,79,25.47169811320755
"Wuzi(α=0.0, β=0.0, γ=2.0)",wuzi,79,25.47169811320755
AG,baseline,79,25.47169811320755
GA,baseline,79,25.47169811320755
R,baseline,79,25.47169811320755
"Wuzi(α=-1.0, β=-1.0, γ=1.0)",wuzi,79,25.47169811320755
"Wuzi(α=-0.5, β=0.0, γ=0.0)",wuzi,79,25.47169811320755
"Wuzi(α=0.5, β=0.3, γ=1.0)",wuzi,79,25.47169811320755
SCI,baseline,77,27.35849056603774
ABS,baseline,77,27.35849056603774
AZI,baseline,74,30.188679245283023
ABC,baseline,74,30.188679245283023
H,baseline,70,33.9622641509434
Schultz,baseline,63,40.56603773584906
mM2,baseline,56,47.16981132075472
W,baseline,53,50.0
Sigma,baseline,51,51.886792452830186
Gutman,baseline,47,55.660377358490564
Sz,baseline,45,57.54716981132076
"Wuzi(α=1.0, β=0.0, γ=0.0)",wuzi,35,66.98113207547169
M2,baseline,35,66.98113207547169
Mostar,baseline,29,72.64150943396226
PI,baseline,26,75.47169811320755
mM1,baseline,22,79.24528301886792
Alb,baseline,20,81.13207547169812
F,baseline,20,81.13207547169812
redM1,baseline,18,83.01886792452831
M1,baseline,18,83.01886792452831
