n,n_trees,alpha,beta,gamma,w_min,w_max,w_path,w_star,min_is_path,max_is_star,min_is_star,max_is_path,classical_match,argmin_degree_seq,argmax_degree_seq
5,3,1.0,0.0,0.0,12.0,16.0,12.0,16.0,True,True,False,False,"P_n=min,S_n=max","2,2,2,1,1","4,1,1,1,1"
5,3,-0.5,0.0,0.0,2.0,2.414213562373095,2.414213562373095,2.0,False,False,True,True,"S_n=min,P_n=max","4,1,1,1,1","2,2,2,1,1"
5,3,0.0,-0.5,0.0,1.7888543819998317,2.1547005383792515,2.1547005383792515,1.7888543819998317,False,False,True,True,"S_n=min,P_n=max","4,1,1,1,1","2,2,2,1,1"
5,3,0.0,-1.0,0.0,0.8,1.1666666666666665,1.1666666666666665,0.8,False,False,True,True,"S_n=min,P_n=max","4,1,1,1,1","2,2,2,1,1"
5,3,0.0,0.0,1.0,4.7912248501721795,7.2884752015620355,4.7912248501721795,7.2884752015620355,True,True,False,False,"P_n=min,S_n=max","2,2,2,1,1","4,1,1,1,1"
5,3,0.0,0.0,2.0,5.8954680821093515,13.280467690946189,5.8954680821093515,13.280467690946189,True,True,False,False,"P_n=min,S_n=max","2,2,2,1,1","4,1,1,1,1"
5,3,1.0,1.0,1.0,48.74734910103308,145.7695040312407,48.74734910103308,145.7695040312407,True,True,False,False,"P_n=min,S_n=max","2,2,2,1,1","4,1,1,1,1"
5,3,-1.0,-1.0,1.0,0.3644237600781018,0.5902041416953632,0.5902041416953632,0.3644237600781018,False,False,True,True,"S_n=min,P_n=max","4,1,1,1,1","2,2,2,1,1"
6,6,1.0,0.0,0.0,16.0,25.0,16.0,25.0,True,True,False,False,"P_n=min,S_n=max","2,2,2,2,1,1","5,1,1,1,1,1"
6,6,-0.5,0.0,0.0,2.23606797749979,2.914213562373095,2.914213562373095,2.23606797749979,False,False,True,True,"S_n=min,P_n=max","5,1,1,1,1,1","2,2,2,2,1,1"
6,6,0.0,-0.5,0.0,2.041241452319315,2.6547005383792515,2.6547005383792515,2.041241452319315,False,False,True,True,"S_n=min,P_n=max","5,1,1,1,1,1","2,2,2,2,1,1"
6,6,0.0,-1.0,0.0,0.8333333333333333,1.4166666666666665,1.4166666666666665,0.8333333333333333,False,False,True,True,"S_n=min,P_n=max","5,1,1,1,1,1","2,2,2,2,1,1"
6,6,0.0,0.0,1.0,5.7912248501721795,9.73867020527338,5.7912248501721795,9.73867020527338,True,True,False,False,"P_n=min,S_n=max","2,2,2,2,1,1","5,1,1,1,1,1"
6,6,0.0,0.0,2.0,6.8954680821093515,18.968339473415888,6.8954680821093515,18.968339473415888,True,True,False,False,"P_n=min,S_n=max","2,2,2,2,1,1","5,1,1,1,1,1"
6,6,1.0,1.0,1.0,64.74734910103308,292.16010615820136,64.74734910103308,292.16010615820136,True,True,False,False,"P_n=min,S_n=max","2,2,2,2,1,1","5,1,1,1,1,1"
